,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
0,gs_ind_0,Golgi_distribution,41/134,0.28658816172865975,0.6011361441137741,1.1005846555862409,1.3754106267659836,MNN1;VAM3;YIP4;FUR4;PEP1;SEC1;ERS1;PMA1;VPH1;KEX2;BUD7;YPS1;PRY2;MYO2;GAS1;TRS120;YPT32;IMH1;SED4;OSH2;SLY1;SEC5;SEC15;FET3;TUB2;BCH1;SAR1;YIF1;GGA1;PRY1;ATG8;COY1;VPS54;ARV1;VPS35;VPS34;VMA1;ANP1;NEO1;VTC1;ARF2
1,gs_ind_0,Golgi_morphology,30/94,0.2349735674446557,0.5317822842168524,1.1514407133026978,1.6676111471454045,GLO3;MNN1;VAM3;FUR4;PEP1;SEC1;UBI4;PMA1;KEX2;YPS1;MYO2;IMH1;PEP7;SEC15;SLY1;SEC5;VPS8;SAR1;TAT2;YIF1;GGA1;ATG8;VPS54;ENT5;VPS35;VPS34;ANP1;EXO70;SRO77;ARF2
2,gs_ind_0,RNA_accumulation,68/209,0.08492705541943604,0.3938857754821284,1.1721555245115345,2.8904916408353274,HHT2;PET309;VTC4;IME1;TRX2;TOP1;RAD51;PIF1;SUV3;NUP116;AIR1;IST3;SPE1;CMR1;BUB2;UBI4;PHO84;DOM34;ZAP1;SUA7;PUB1;QDR2;NUP60;NOG2;PML1;PHO4;CTT1;LRO1;PCK1;YEF3;PRP43;SGS1;HBS1;SIZ1;ARL3;ECM16;STP22;LOS1;GCN2;CAT5;XRN1;RAD54;MTR4;TUB1;CLB2;SKI7;PDR1;RPS21A;YDJ1;ATG8;CUS2;ACS2;RNA1;GIS2;CDC33;PEX15;YOX1;EDC3;VMA1;RTS1;RRP6;RPA12;SPP382;ADH1;TDH3;DBP2;RPL26A;INO1
3,gs_ind_0,RNA_localization,93/287,0.05534034620374243,0.3938857754821284,1.1691306219468829,3.383759866901231,TRX2;TOP1;VPH1;WHI5;SUA7;NDT80;IME2;MFA2;YEF3;PRP43;PSY2;OXA1;STP22;UTP30;GCN2;HTA2;RIX1;TUB2;MTR4;LOC1;HSP12;RNA1;VPS34;ABP140;GYP6;GLO3;UFO1;KAP95;VTC4;PHO84;NUP60;TOM70;RRD2;DCS1;APQ12;CTT1;PEX11;MIP6;XRN1;HHF2;YDJ1;AFT2;RPL29;GIS2;NRD1;SPP381;RRP6;TFC3;MSN2;CRZ1;NPL3;PIF1;NUP116;RPC53;ZAP1;TIF2;RPA49;HTA1;PHO4;LRO1;SWI6;ESP1;YAR1;YIF1;TGL4;RFA3;BRE5;PHO8;RPA12;EST2;EAR1;SRL1;PHO3;HHT2;TOM6;MPT5;CMR1;PMA1;UBI4;DEF1;RRD1;SIZ1;LOS1;CLB2;MAF1;HMO1;ATG8;CDC33;EDC3;SCP160;CCT3;VTC1;BUD21
4,gs_ind_0,RNA_modification,24/89,0.635060271981755,0.823369835754458,0.9729500884184337,0.44175375152537316,HHT2;EFT1;NPL3;ELP4;IME1;EAF5;UBI4;UBA4;HTA1;IME2;PUS7;LOS1;GCD14;HTA2;SET2;ELP2;GUS1;ELP3;DEG1;ABP140;RRP6;EFT2;TEF2;SUA5
5,gs_ind_0,UV_resistance,35/124,0.5226001045616093,0.7682668203811692,1.0144176542167027,0.6582948999726682,HHT2;RAD51;APN1;TRX2;RAD26;RAD23;RAD7;UBI4;PMA1;CYR1;SLX1;RAD2;MSH2;HTA1;PMT2;SGS1;PCK1;SIZ1;HUL4;RAD55;SLX4;RAD54;RAD61;HTA2;HMO1;PDR1;CAT2;HSP12;RNR2;VPS34;PMS1;CBF2;RAD5;PSO2;ADH1
6,gs_ind_0,X_ray_resistance,1/7,0.9008863101790417,0.950628499084633,0.7108895093737535,0.07419995353944805,SLI1
7,gs_ind_0,acid_pH_resistance,23/103,0.926304202994499,0.9651202408353307,0.8037662722299698,0.06153038614146663,HHT2;ERG5;APN1;SAH1;UBI4;RAD23;SOD2;DEF1;PHO84;DOM34;PHO4;UFD2;AAT1;FZO1;TAT2;PDR1;YDJ1;ATG8;MET10;HSP12;ELP3;RAV2;FPK1
8,gs_ind_0,acquired_thermotolerance,4/16,0.6995249139303202,0.8555607320100003,0.9697575515248446,0.3465466127784789,CTT1;CYR1;MSN2;UBI4
9,gs_ind_0,actin_cytoskeleton_morphology,49/149,0.11075604538737108,0.39687582930474635,1.1847496632629988,2.606953116216528,BUD6;ATG14;KAP95;TUS1;HOF1;GIC1;BZZ1;UBI4;PMA1;CYR1;RLM1;MYO2;CTT1;AVL9;CLN2;MSN2;OXA1;VRP1;SWI6;RAS1;PKC1;ESP1;GCN2;RIM101;SEC5;OYE2;PIN3;FZO1;TUB2;TUB1;CLB2;TOM40;MDM20;CDC24;AIM7;ORM1;FAR1;FPK1;ABP140;ATG11;CLA4;TEF2;SHM2;ZDS1;KIN82;GIC2;EXO70;KAP123;CRN1
10,gs_ind_0,adhesion,5/16,0.48262040712870546,0.7461096046875183,1.1862078164599172,0.8641818607392763,HYR1;TDP1;AGA2;SAR1;YIF1
11,gs_ind_0,alkaline_pH_resistance,14/50,0.5604555723038838,0.7901504789858033,1.0213264373595763,0.5913534243582222,PKH1;RIM101;QDR2;VPS34;TOM70;PHO8;TOP2;TOM40;UBI4;DOA4;PHO84;AFT2;CRZ1;PKC1
12,gs_ind_0,anaerobic_growth,37/159,0.9314532556899122,0.9651202408353307,0.8310428507978603,0.0590117478029982,FUM1;RAD51;APN1;PIF1;TSA1;SOD2;RRD1;RTT106;ZAP1;THI12;RRD2;HAP4;OSM1;CTT1;ERG3;YLR042C;TKL1;FAS1;ARI1;RAS1;RPE1;DAN1;MDJ2;TOM40;PDR1;ATG8;HYR1;PRR2;BAS1;YAH1;FAS2;CLA4;MIH1;TDH3;HXT4;SNF3;MSN2
13,gs_ind_0,aneuploidy,28/82,0.13530614474017266,0.415583158844816,1.2338064707408367,2.467878616000634,HHT2;FMP10;VTC4;RAD51;UBI4;BUB2;PMA1;FLC2;MIF2;WHI5;MOT3;SMC3;CTT1;SIZ1;SMY2;SWI6;FLC1;RAD55;ESP1;RAD54;RAD61;EST3;PDR1;RTS1;SCP160;REC8;EST2;VTC1
14,gs_ind_0,apoptosis,1/15,0.9929762892829114,0.9981342068202058,0.3433611693709227,0.0024201788276830057,HHT2
15,gs_ind_0,autophagy,25/107,0.8889909304279717,0.950628499084633,0.8403132299951767,0.09887818345536153,HHT2;TDH1;UBI4;LEU3;VPH1;ATG16;SNX41;VPS9;FAR7;ATG29;HCM1;PKC1;GCN2;XRN1;GGA1;YDJ1;ATG8;SSA3;FAR11;VPS35;VPS34;PHO8;ATG11;FAS2;TDH3
16,gs_ind_0,auxotrophy,21/76,0.5805912791423142,0.8118837399388459,0.9994383376915149,0.5434028674979002,HHT2;TRX2;ZWF1;RAD26;UBI4;PHO84;LEU3;PSD1;CIT2;TKL1;BIO4;TAT2;AFT2;MET30;BAS1;THR4;ADH1;SHM2;ARO7;ADE16;INO1
17,gs_ind_0,axial_budding_pattern,9/37,0.7525204891610776,0.8745508387547659,0.9001418439716312,0.2559346792265442,BUD7;CDC25;BUD6;RSR1;BUD4;PML1;IST3;CDC24;VRP1
18,gs_ind_0,biofilm_formation,20/64,0.33003191275554705,0.6549926192722381,1.1324203063726646,1.2553625631515748,CDC25;TDA9;RPB2;FBA1;SPT7;YPS1;CYR1;PDE2;IME2;NDT80;PHO2;FRE8;RAS1;ATO3;RIM101;TUB2;MDH1;ARC18;HYR1;TPS2
19,gs_ind_0,bipolar_budding_pattern,13/48,0.6171282359614481,0.823369835754458,0.989753000817933,0.47773243324140485,BUD7;CDC25;BUD6;RSR1;BUD4;PML1;DSE1;PHO4;PCL1;CLB2;IST3;TWF1;CDC24
20,gs_ind_0,bud_morphology,24/83,0.47601258038829547,0.7461096046875183,1.044293371809814,0.7751904526444117,ROM2;CDC15;BUD6;CLB1;HOF1;GIC1;SEC1;UBI4;BUB2;MYO2;CLN2;YPT32;DBF2;PKC1;RSR1;TUB2;TUB1;CLB2;CNM67;CDC24;CHS1;BUD4;CLA4;GIC2
21,gs_ind_0,bud_neck_morphology,64/201,0.13065187056785596,0.415583158844816,1.1458235847689995,2.33200189567614,ROM2;CDC15;SPR6;HHT2;BUD6;VAM3;KAP95;TUS1;CLB1;HOF1;GIC1;CLB4;SEC1;VPS73;CTS1;UBI4;BUB2;PMA1;BIK1;BUD7;GSC2;MYO2;PCK1;GAS1;YPT32;VRP1;DBF2;PKC1;RIM101;MNN10;SEC5;XRN1;STE4;AKR1;RSR1;SSP1;SUN4;MTR4;VAC8;TUB2;TUB1;PCL1;BOI2;CNM67;CLB2;ACM1;HOS3;NIS1;CDC24;RNT1;UBX2;CHS1;MET30;PAC11;MLF3;BUD4;HMG1;RTS1;FAR1;NBA1;CLA4;MKK2;GIC2;SPC72
22,gs_ind_0,budding,25/84,0.40711166599206244,0.6685521804634171,1.074682785853681,0.9657827799912985,HHT2;RAD51;SLI15;UBI4;MCM2;WHI5;SMC3;HTA1;IME2;MYO2;DPB11;SGS1;SWI6;PKC1;ESP1;HTA2;CLB2;HHF2;SRS2;STU2;CDC24;ATG8;CIN8;SIR3;MSN2
23,gs_ind_0,budding_index,3/9,0.4858388123546631,0.7461096046875183,1.311037281577896,0.9464094583456729,SCP160;TEF2;SPE1
24,gs_ind_0,budding_pattern,21/80,0.6857599477612717,0.854715297209701,0.9489107146004275,0.35795535216596464,HHT2;CDC15;BUD6;CDC25;RAD51;CLB1;UBI4;BUB2;CYR1;RLM1;NDT80;CLB3;PHO4;DBF2;RSR1;CLB2;CDC24;CBF2;BUD4;SIR3;MSN2
25,gs_ind_0,cell_cycle_passage_through_START,8/35,0.8093935226669272,0.9099064437824279,0.8504658113139325,0.17984804696808201,WHI5;FAR1;CLB1;CLB3;CLB2;CDC24;SWI6;SNF3
26,gs_ind_0,cell_cycle_progression,64/165,0.001620480678261493,0.0628329454041812,1.40685131916697,9.03906539031511,HHT2;SET3;ATG14;KAP95;RAD51;PIF1;CLB1;HOF1;TOP2;EAF5;SLI15;UBI4;BUB2;CSM3;MCM2;DOM34;RTT107;RCK2;WHI5;RRI1;YPS1;DPB2;PDE2;HTA1;NDT80;IME2;SSK2;TOP3;HCM1;CLN2;MSH2;SGS1;SPC29;SWI6;PKC1;SLX4;RPE1;XRN1;RAD54;SAS3;HTA2;RIX1;TUB2;CLB2;SRS2;STU2;HOS3;RTT101;NIS1;SUM1;NRM1;TSR1;PCH2;RNR2;POL2;SPC42;MPS1;UBP6;CIN8;NBA1;SPC97;SCP160;SSK1;MSN2
27,gs_ind_0,cell_cycle_progression_in_G1_phase,29/86,0.14733334597250125,0.4223555917878369,1.2179221410159355,2.3323910521006237,ROM2;CDC15;CDC25;RAD51;CLB1;CLB4;UBI4;BUB2;MCM2;WHI5;CLB6;CYR1;DPB2;TOP3;CLB3;PHO4;HCM1;CLN2;RAS1;SWI6;PKC1;TUB2;PCL1;CLB2;MET30;CDC33;YOX1;FAR1;CLA4
28,gs_ind_0,cell_cycle_progression_in_G2_phase,55/164,0.07002175263052518,0.3938857754821284,1.2090486030780303,3.214798977131792,ROM2;HHT2;RPN9;KAP95;IME1;RAD51;CLB1;TOP2;GIC1;CLB4;RAD23;BUB2;UBI4;MCM2;RRD1;CLB6;CYR1;KIP1;DPB2;RRD2;SMC3;IME2;CLB3;PPH21;DPB11;MYO2;TOP3;PHO4;ERG3;HCM1;SGS1;SDS3;PRP18;TAF5;SWI6;PKC1;SMC4;ESP1;GCN2;RPE1;RAD54;TUB2;TUB1;CLB2;HHF2;CDC24;YDJ1;RNT1;PRP22;CBF2;FAR1;NTC20;CLA4;SLU7;GIC2
29,gs_ind_0,cell_cycle_progression_in_anaphase,54/138,0.0029224625769386603,0.0628329454041812,1.417491508502023,8.27152883883591,ROM2;HHT2;CDC15;BUD6;RPN9;ATG14;RAD51;IME1;CLB1;TOP2;APC9;CLB4;SLI15;RAD23;BUB2;CAC2;UBI4;SLK19;WHI5;CLB6;CYR1;KIP1;CLB3;APQ12;DPB11;SPC29;TAF5;DBF2;PKC1;RLF2;ESP1;XRN1;CDC21;RSC2;MTR4;TUB2;CLB2;HIR2;STU2;ACM1;HOS3;RTT101;MET30;SPC42;ELP3;MPS1;CBF2;RTS1;DOC1;CIN8;CLA4;REC8;ZDS1;SPC72
30,gs_ind_0,cell_cycle_progression_in_late_anaphase,8/21,0.2143779560216236,0.5121251171627674,1.4086978423306187,2.169415345793858,ESP1;CDC15;XRN1;CLB1;CLB2;ACM1;UBI4;SLK19
31,gs_ind_0,cell_cycle_progression_in_metaphase,23/57,0.0302449545361839,0.3060077753072724,1.4620452258645342,5.114856886026104,ROM2;NUP53;APC9;SLI15;UBI4;BUB2;BIK1;SMC3;SGS1;PKC1;ESP1;TUB2;CLB2;HHF2;STU2;MPS1;PMS1;DOC1;CIN8;REC8;SIR3;IBD2;SLK19
32,gs_ind_0,cell_cycle_progression_in_mid_anaphase,4/7,0.10262300291784623,0.3938857754821284,2.1377848860455817,4.867080251972523,UBI4;RAD23;CIN8;KIP1
33,gs_ind_0,cell_cycle_progression_in_telophase,4/15,0.6452987872299167,0.828293965698102,1.032554720047465,0.4523021626881156,ESP1;CDC15;SIR3;DBF2
34,gs_ind_0,cell_cycle_progression_through_the_G1/S_phase_transition,11/38,0.5153931998031441,0.7682668203811692,1.0628097274659398,0.7044570434599506,WHI5;CYR1;YOX1;HTA2;HTA1;HCM1;SOG2;TOS4;SWI6;IRE1;PKC1
35,gs_ind_0,cell_cycle_progression_through_the_G2/M_phase_transition,8/34,0.7810390936555294,0.9016021752265171,0.8753146491335159,0.2163165744497675,ESP1;CYR1;GIC1;CLA4;CDC24;UBI4;BUB2;GIC2
36,gs_ind_0,cell_death,12/34,0.2246068158280184,0.5220590854380969,1.2913714169072406,1.928539098244611,ATG8;RAD51;SRB7;TRX2;HSP31;SAS3;SDS3;VPS41;HHF2;SWI6;SSA3;PKC1
