Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,HRB1,-0.7880794704582625,-1.521211740229264,0.0,0.07077158111116874,0.06,16/44,11.23%,RPS5;MLP1;PMA1;CHD1;PRP43;THO2;CLA4;RPC82;MTR4;GBP2;RRP6;RPS4A;SCP160;CBC2;SSA2;SSA1
prerank,CPR1,0.46193607948568405,1.5015888076948765,0.0,0.2910218278973635,0.19,14/52,14.25%,SUI1;UBP3;SBP1;CMD1;RPT5;CCP1;SMT3;SAM50;HEK2;SIF2;TEM1;ECM38;RPD3;IGO1
prerank,UBP15,-0.7632772500119799,-1.4953780021872571,0.0,0.08422814935061632,0.132,14/57,11.45%,YAK1;TUB2;CLA4;ENT5;FPK1;ECM30;MTR4;PMD1;LSB3;ASK10;MYO2;DOA4;MLF3;PEX5
prerank,GBP2,-0.725477074558889,-1.3957050496182317,0.008238928939237899,1.0,0.849,12/44,10.02%,RPS5;MLP1;PMA1;IMD3;PRP43;THO2;CLA4;RPC82;MTR4;RRP6;RPS4A;CBC2
prerank,NUP1,-0.7196504232914208,-1.3891991664302539,0.008238928939237899,1.0,0.878,11/45,11.23%,NUP60;MLP1;AVT1;NUP120;NSP1;NUP145;KAP95;NUP170;FBA1;CBC2;SSA1
prerank,TUB3,-0.7234006393021551,-1.3865798167236383,0.008465608465608466,0.8785643886110441,0.892,12/39,14.99%,VMA1;TUB2;TRP3;RPN9;RPC82;STU2;EFT1;SAM1;HSP60;FAS1;ERV25;PSA1
prerank,BUL2,-0.6955427012202263,-1.3810032626796376,0.002008032128514056,0.8361346660387613,0.917,19/78,13.25%,NNF1;STV1;PRP43;NSP1;NOC2;CCT3;TRS120;MNN1;RRP5;NIP100;RRP6;SMC3;EFT2;SCP160;HCA4;XRN1;PEP1;RPB2;SNF7
prerank,NHP10,-0.716783485766015,-1.3788388287896007,0.008368200836820083,0.7525710385765128,0.925,11/39,10.85%,NNF1;SPO14;FRK1;IES3;KSP1;HTA2;COY1;DBF2;RSC2;IES5;ISW2
prerank,NNF1,-0.6842419108920773,-1.3756277584621663,0.00404040404040404,0.7141948995232733,0.942,26/77,19.14%,NNF1;BIK1;MPS1;MCM16;SMC4;CNM67;PKC1;STU2;ARR1;PAM1;PDE2;MYO2;PTK2;COY1;SSA1;CIK1;SNF7;VTS1;NUP57;SLF1;SLK19;MIF2;TSC11;KEL2;SET2;RUD3
prerank,DPS1,0.5067692221470866,1.3624666535348517,0.1111111111111111,0.43827191611634825,0.434,6/29,7.96%,UBP3;SBP1;SLA1;RPT5;PKP2;SAM50
prerank,LGE1,-0.691812381039897,-1.3621966716436917,0.00911854103343465,0.8737355295555715,0.968,23/61,19.50%,MGM101;PRP43;CNM67;SPC42;RPA135;RPC82;UBX3;KOG1;EFT2;FRK1;BUB2;KSP1;MSH2;RPA49;SPC72;SPC97;NET1;SEA4;DBP2;TSC11;TOP2;SPC29;RFA3
prerank,RAD3,-0.6917787251482101,-1.3596529154801629,0.03263157894736842,0.8338088394294743,0.973,9/39,11.32%,VMA1;RAD26;RPN8;MDH1;RAD2;ECM29;MET18;MSH2;YDJ1
prerank,MFT1,-0.6999102244699765,-1.3497102914255181,0.025343189017951427,0.9386069617791114,0.984,13/39,20.04%,IMD3;THO2;GBP2;RPS4A;KSP1;CBC2;SSA2;SSA1;GIS1;MLP2;NOT3;TOP2;YCK1
prerank,NAF1,-0.6765061918413856,-1.3483736268312216,0.0030120481927710845,0.8833157201128738,0.986,25/82,16.83%,RPS5;PMA1;MUD1;RPL21B;RPL7B;GTS1;SHQ1;RPS15;NAM8;RRP5;SSA3;IMD4;CBC2;RPL26A;RPL16B;SSA2;RPS9B;SSA1;SUB1;RPS14A;RPS22A;RPL28;NET1;PAT1;RPC40
prerank,POM152,-0.6944911947901339,-1.3466621073524794,0.03039832285115304,0.8441217079662587,0.986,11/43,13.83%,NUP60;MLP1;UTP8;NSP1;NUP145;NUP100;SMC3;NUP170;SSA2;SSA1;NUP57
prerank,RFA2,-0.6986374646674569,-1.345187363154932,0.025130890052356022,0.8070381004980863,0.986,16/39,22.01%,RAD54;MGM101;RPC82;HIR3;DPB11;HHF2;HTA2;HHT2;RAD51;CAC2;HTA1;EST2;RFA3;HSP12;RTT106;CMR1
prerank,OTU1,-0.6891591690152505,-1.342371843535767,0.004073319755600814,0.7972933616636645,0.989,14/57,12.57%,RPS15;RPL33A;TSA1;TKL1;RPS4A;EFT1;YEF3;RPL26A;RPL16B;SAM1;SSA2;RPS9B;SSA1;FAS1
prerank,NUP159,-0.6862323995592267,-1.3390992956669054,0.026041666666666668,0.8013510984445101,0.99,16/44,20.04%,MLP1;NSP1;RNA1;NUP100;KAP95;CLB3;YEF3;CLB2;SSA2;SSA1;MLP2;KAP123;NUP159;NMD3;NUP133;YCK1
prerank,MEX67,-0.6731667127745511,-1.3388684937591726,0.00910010111223458,0.7569099756123259,0.99,22/66,20.04%,NUP60;MLP1;NUP120;PMA1;NSP1;NUP145;NUP100;GBP2;KAP95;RRP6;NUP170;CBC2;ROM2;NUP57;MLP2;DBP2;RIO2;NUP192;NUP159;NMD3;NUP133;YCK1
prerank,SNF5,-0.6974223522148005,-1.3333229379265277,0.02845100105374078,0.7957095844963878,0.993,13/40,18.53%,HIR2;SWI1;PRP43;RPC82;COX20;HHF2;HAP4;CBC2;SIZ1;TAF9;HHT2;RIO2;HTA1
prerank,MLP1,-0.6657306129358616,-1.3328888499531397,0.002002002002002002,0.7609125370173399,0.993,26/96,11.54%,RNR2;NUP60;MLP1;NUP120;ROM1;RPL7B;TFC3;NSP1;NUP145;RPC82;MTR4;NUP100;GBP2;KAP95;PMD1;COX20;NUP170;YEF3;YLL054C;HTA2;MTC5;ESP1;SSA2;SSA1;ENV9;YHR131C
prerank,YPL216W,-0.6805745884108958,-1.328033925533763,0.02809573361082206,0.794685113251821,0.995,12/43,18.76%,NNF1;RAD26;CNM67;RIM8;STP22;COY1;RTT101;IMH1;BUD6;RRP12;NOT3;YET1
prerank,CDC15,-0.692523326480815,-1.3275498258947507,0.026068821689259645,0.764579898416302,0.995,12/42,13.78%,VMA1;MPS1;FMP48;CLA4;FRK1;SLI15;DBF2;PRR2;CDC15;GUS1;GRX1;RPP2B
prerank,SPO21,-0.6762337292772225,-1.3237979585124706,0.02247191011235955,0.7836978479384673,0.996,12/50,9.68%,NNF1;STV1;MPS1;YKL050C;RTT103;CNM67;SPC42;ADY4;KOG1;KSP1;SAP185;STB2
prerank,FUN12,-0.6616841602806456,-1.3229663532867009,0.012096774193548387,0.7602419325487582,0.996,12/68,9.12%,RPS5;BIK1;AEP3;IMD3;SUI2;NIP1;TIF35;RRP5;RPL12A;RPS4A;SCP160;HHF2
prerank,UTP15,-0.6902008123481607,-1.3206210806028007,0.03556485355648536,0.7624973342840065,0.996,8/41,6.48%,RPS5;UTP8;TFC3;PRP43;SUI2;RPC82;RRP5;BUD21
