Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,apoptosis,0.7283447920444068,1.7118054643525396,0.006756756756756757,0.05065234075211052,0.043,2/15,0.34%,GLC7;SSN3
prerank,critical_cell_size_at_START_(G1_cell-size_checkpoint),-0.7688557882190409,-1.418690732036806,0.011123470522803115,0.5301319998529249,0.384,7/24,11.32%,CLB1;IFH1;WHI5;FHL1;MYO2;CYR1;YDJ1
prerank,colony_size,-0.7662070404500052,-1.3937860985634345,0.012222222222222223,0.44276942309813583,0.56,8/23,16.09%,TUB2;SWI1;RAD2;GPD1;CYR1;GUP1;CTT1;RAD51
prerank,prion_inheritance,-0.7361058845315319,-1.373087692104782,0.03125,0.43681288377394567,0.686,13/23,18.62%,PMA1;SWI1;TSA1;NUP100;NEW1;MOD5;SSA2;SSA1;YDJ1;SSZ1;HOF1;MOT3;EST2
prerank,resistance_to_chemicals,-0.713214725166625,-1.366698293693688,0.009375,0.3688090598227746,0.723,13/45,16.23%,ERG3;RAD54;RAD55;SPE1;SNQ2;AGA2;NDT80;ANP1;PDR1;SSZ1;IRS4;RAD51;HXT14
prerank,exit_from_G0_(stationary_phase),0.5420906152465804,1.3557125572507043,0.09523809523809523,0.514581734458941,0.586,5/19,18.00%,CDC7;SMT3;PAB1;MCK1;YRA2
prerank,meiotic_recombination,-0.6669009226575123,-1.342144656160008,0.0030272452068617556,0.45408684781409714,0.853,25/85,17.17%,CLB1;RAD54;BIK1;TOP3;BAS1;RAD55;SUM1;NAM8;NDT80;SMC3;SIR3;PMS1;RAD2;SPO22;SGS1;ESP1;MSH2;XRN1;CLB6;RAD61;SRS2;HHT2;RAD51;PDS5;PCH2
prerank,cell_cycle_progression_in_metaphase,-0.6799351546776113,-1.3414603342815188,0.016293279022403257,0.3830385704305622,0.859,18/57,10.74%,BIK1;TUB2;MPS1;IBD2;PKC1;APC9;STU2;SMC3;SIR3;PMS1;BUB2;CIN8;HHF2;SLI15;SGS1;ESP1;CLB2;ROM2
prerank,mitotic_cell_cycle,-0.6571331581477923,-1.3129094537247816,0.007042253521126761,0.5148151844478646,0.942,28/81,16.09%,CLB1;BIK1;TUB2;SPC42;PKC1;STU2;CLB3;SMC3;MYO2;BUB2;SMC6;CIN8;HTA2;SLI15;DBF2;SGS1;ESP1;CLB2;CDC15;RTS1;CLB6;RAD61;SPC72;SRS2;SLK19;NET1;HHT2;RAD51
prerank,gamma_ray_resistance,-0.6945350238519541,-1.296847250073883,0.06331877729257641,0.578652976431224,0.971,9/27,16.09%,RAD54;SWI1;RAD55;PSO2;RAD2;RAD61;RPL28;SRS2;RAD51
prerank,mitotic_recombination,-0.6490454607821714,-1.295180863526069,0.010101010101010102,0.5269331176232673,0.974,25/88,16.74%,RAD54;TUB2;TOP3;RAD55;THO2;RFC1;NDT80;SMC3;SIR3;PMS1;RAD2;SMC6;HHF2;SGS1;CYR1;ESP1;MSH2;XRN1;CLB2;RAD61;RAD5;SRS2;HHT2;RAD51;PDS5
prerank,hyperosmotic_stress_resistance,-0.6720283211019674,-1.2795328991455133,0.09619450317124736,0.6020075743648197,0.988,9/31,18.60%,ERG3;SOD2;SNQ2;SSK1;PDE2;CTT1;CAT2;MOT3;SSK2
prerank,meiosis,-0.6378604472159826,-1.2771832577574393,0.012036108324974924,0.5651492310314975,0.99,32/93,17.17%,CLB1;RAD54;TOP3;SUM1;NAM8;STU2;NDT80;SPO71;RRP6;CLB3;SMC3;SMC6;CIN8;SPO22;HTA2;SLI15;DBF2;SGS1;ESP1;MSH2;CLB2;CDC15;RTS1;RAD61;CIK1;SRS2;SLK19;NET1;HHT2;RAD51;PDS5;PCH2
prerank,plasma_membrane_morphology,-0.6305268347577628,-1.2693192139989493,0.012036108324974924,0.5781152332977902,0.993,31/116,15.62%,DEG1;DOM34;VMA1;SOD2;PMA1;OM45;SAR1;PKH1;GSC2;ATG29;PKC1;FPK1;SKN1;OSH6;NDT80;YIF1;TAM41;PAM1;FKS3;VPS16;YDJ1;SEC1;RAD61;DAN1;GUP1;YME1;OSW2;MAS2;RAV2;TOM70;VPS8
prerank,utilization_of_iron_source,-0.7871194777232141,-1.2668086004783552,0.14627659574468085,0.5512853510426772,0.994,3/8,9.01%,ARN2;FTR1;FET3
prerank,position_of_spindle_pole_body,-0.6858429003429989,-1.2608968658928361,0.12004405286343613,0.5561564038050415,0.995,8/23,13.98%,BIK1;TUB2;SIR3;BUB2;RIF2;CIK1;SPC72;HOS3
prerank,competitive_fitness,-0.6882442644335234,-1.2533102485800658,0.14285714285714285,0.5756002500275766,0.997,7/20,16.76%,GTS1;EFT2;EFT1;YDJ1;DPH1;HHT2;DBP2
prerank,sporulation,-0.6335868747623425,-1.2502756189239932,0.03225806451612903,0.5613417840202964,0.997,19/83,12.21%,CLB1;RAD54;TOP3;GIP1;SPR1;SPO14;GSC2;SUM1;NDT80;SPO71;KEX2;RAD2;CDC25;SGS1;CYR1;XRN1;CLB2;CDC15;RAD61
prerank,spindle_morphology,-0.620260895599206,-1.2488513257629388,0.007,0.5379572573964689,0.997,45/155,18.74%,CLB1;BIK1;TUB2;DUO1;CAJ1;ATG14;THO2;KIP1;CNM67;SPC42;SUM1;STU2;NDT80;MTR4;ADY4;CLB3;SMC3;MYO2;BUB2;CIN8;SPO22;HTA2;SLI15;DBF2;ESP1;RSC2;CLB2;CDC15;RTS1;YDJ1;CLB6;RAD61;CIK1;SPC72;HOS3;SPC97;JEM1;SLK19;HHT2;BUD6;IRR1;KAP123;HTA1;TOP2;BOI2
prerank,chemical_compound_accumulation,0.7343122685687498,1.2352957528899067,0.23310810810810811,0.5874904067536455,0.767,1/6,0.04%,GLC7
prerank,survival_rate_in_stationary_phase,-0.7566141523777727,-1.2352300804453238,0.17678100263852242,0.6036511379931611,0.999,6/9,21.02%,RAD54;CDC33;PYC2;ZWF1;HSP12;TIF2
prerank,cell_cycle_progression,-0.6089000591906557,-1.2291446890799982,0.019,0.6174423262627651,0.999,48/165,18.71%,RNR2;DOM34;CLB1;RAD54;TUB2;TOP3;MPS1;ATG14;SPC42;SUM1;PKC1;RTT107;SSK1;STU2;NDT80;POL2;WHI5;CLN2;KAP95;PDE2;SCP160;BUB2;NBA1;CIN8;HTA2;SLI15;SGS1;RTT101;MSH2;XRN1;CLB2;YPS1;SET3;RRI1;NIS1;HOS3;SPC97;SRS2;PIF1;HHT2;RAD51;NRM1;PCH2;UBP6;HOF1;HTA1;SSK2;TOP2
prerank,vacuolar_distribution,-0.6118004932461449,-1.2276199579515168,0.021,0.5976394455270801,0.999,28/117,14.79%,VMA1;AVT1;PMA1;PKH1;MDM1;YPT32;YAH1;VMA6;GGA1;KEX2;VAC8;KOG1;MYO2;VPS35;FET3;DOA4;VPS16;PEP1;SSA1;SEC1;PMC1;VPH1;VAM3;FTH1;SNF7;FRE7;SED4;CTT1
prerank,inviable,-0.597715768135479,-1.2162679612418994,0.002,0.6546993103230925,1.0,62/312,15.31%,SSQ1;ERG3;CLB1;RAD54;BIK1;TUB2;TOP3;SWI1;SPO14;PKH1;RPL7B;SUA7;GSC2;NEO1;KIP1;CLA4;NSP1;PPH22;NAM8;PKC1;SKN1;CCT3;STE23;TDH1;KEX2;TAM41;NUP100;POL2;WHI5;CLN2;SGD1;EST3;CLB3;SIR3;PMS1;SSA3;PCL1;MYO2;BUB2;CIN8;HHF2;CDC25;DOA4;SGS1;VRP1;CLB2;SSA2;CHS1;SSA1;YDJ1;STE4;CLB6;ERG28;RRD1;SLX1;RAD5;GRX1;GAS2;RRD2;SRS2;PSA1;APN1
prerank,nucleolar_morphology,-0.608460849023907,-1.2156864104441345,0.045090180360721446,0.629452780554005,1.0,27/109,17.17%,RAD54;NUP120;UTP8;SHQ1;NUP145;NOC2;RRN9;RRP5;MTR4;RCL1;RRP6;SIR3;BUB2;HHF2;SLI15;SGS1;ESP1;CLB2;NMA111;STE4;SLK19;MAS2;NET1;HHT2;RBD2;LOS1;PCH2
