Chromosome,WT,ssd1
1,89.55008045,94.33409285
1,96.03214269,92.98772065
1,96.03303414,89.39477629
1,95.1558965,93.62434818
2,82.09302326,82.00960784
2,83.06010929,82.51884444
2,85.04300654,85.88862201
2,84.21724451,82.46283906
3,96.07848184,95.79337268
3,94.82801218,93.60647666
3,97.26743772,92.68360007
3,96.9412911,94.9874686
4,71.42857143,41.2371134
4,68.75,44.82758621
4,67.16245886,42.90256261
4,72.30045517,44.97262844
5,88.17289959,76.1135576
5,83.62872142,74.76841063
5,80.37104306,81.55019917
5,86.41944401,82.48989591
7,79.06976744,66.66666667
7,78.40909091,71.42857143
7,80.21978022,72.72727273
7,80.55530097,72.4211938
7,78.13723342,72.70369481
8,93.23706946,88.73908151
8,91.72447124,83.70998235
8,88.7945127,85.9487193
8,94.86965363,83.98499052
8,89.68861816,89.9033759
8,92.57302269,90.71165188
9,100.2142382,96.45380654
9,93.98123288,82.75326426
9,97.27073202,96.86190967
9,91.50062224,89.50794003
9,95.44828267,92.0402984
9,95.64318204,89.64986993
10,88.50923727,82.15917628
10,88.78354037,84.77967973
10,87.32747563,84.87407776
10,86.43183069,86.64830624
11,92.03089493,82.0287439
11,93.67523146,78.4897287
11,94.20644167,79.56151579
11,92.71474552,78.80036765
12,89.47368421,60.82474227
12,78.94736842,60.63829787
12,83.83838384,62.3655914
12,85.86956522,54.34782609
12,88.23529412,50
12,88.0952381,54.54545455
12,81.18811881,62.76595745
13,76.69902913,64
13,72.27722772,63.63636364
13,84.375,63.2183908
13,76.2031647,60.99383499
13,74.31452542,53.11164376
13,75.62293048,68.08643772
13,68.60666982,64.66400431
13,71.04941762,63.60108398
14,84.61538462,83.69565217
14,71.875,78.40909091
14,83.14606742,77.17391304
14,78.11965899,80.16906838
14,78.52669698,76.70959407
15,59.124322,37.26394184
15,67.17233481,39.01292413
15,69.79166667,43.67816092
15,70.63083732,44.86321029
15,62.6679675,41.91284191
16,70.21276596,
16,73.33333333,
16,63,
16,72.22222222,
16,66.33663366,
