,number of physical interaction,number of positive genetic interaction,number of negative genetic interaction
YLR418C,41,63.0,221.0
YOL145C,25,41.0,44.0
YOR123C,12,46.0,180.0
YBR279W,28,,3.0
YML069W,38,34.0,256.0
YGL244W,24,31.0,194.0
YGL207W,233,1.0,29.0
YER164W,46,75.0,181.0
YIL035C,141,5.0,37.0
YOR061W,78,48.0,35.0
YDL209C,42,,
YLR424W,42,5.0,70.0
YNL245C,5,99.0,268.0
YIR010W,494,5.0,116.0
YPL233W,22,10.0,189.0
YJL091C,6,62.0,218.0
YNL124W,88,15.0,101.0
YJL072C,15,4.0,77.0
YDL140C,244,313.0,406.0
YIL021W,549,43.0,252.0
YGR186W,22,5.0,77.0
YGR005C,27,16.0,145.0
YPL129W,83,43.0,113.0
YML010W,103,,
YPL063W,18,12.0,94.0
YDR288W,13,24.0,203.0
YDR365C,57,14.0,111.0
YFR003C,4,10.0,126.0
YGR002C,22,83.0,208.0
YGR046W,1,40.0,80.0
YGR198W,9,6.0,57.0
YHR066W,66,18.0,69.0
YHR085W,14,27.0,76.0
YJL010C,52,23.0,149.0
YJR012C,4,,
YJR136C,2,57.0,144.0
YKL088W,13,,
YKL195W,32,74.0,90.0
YKR038C,7,7.0,92.0
YKR079C,4,2.0,4.0
YLL034C,24,,
YLR132C,8,,
YLR145W,11,10.0,79.0
YML023C,17,32.0,262.0
YNL260C,3,18.0,101.0
YNL313C,13,3.0,9.0
YPR169W,2,2.0,32.0
YGR152C,8,1.0,7.0
YLR229C,30,4.0,81.0
YER006W,51,8.0,98.0
YJL168C,42,34.0,184.0
YOL034W,29,11.0,77.0
YMR049C,51,6.0,61.0
YGR103W,85,16.0,44.0
YGR128C,40,47.0,250.0
YJL109C,431,,
YDR324C,60,10.0,115.0
YHR196W,58,19.0,102.0
YLR409C,58,19.0,139.0
YLR222C,23,8.0,90.0
YJL069C,47,11.0,92.0
YGR090W,74,,5.0
YOR039W,22,21.0,210.0
YPL147W,8,3.0,43.0
YGR264C,9,14.0,65.0
YGR162W,267,4.0,1.0
YER049W,6,5.0,46.0
YPL263C,5,,23.0
YGL078C,13,11.0,53.0
YGR159C,15,,
YOR310C,147,6.0,101.0
YLR410W,17,64.0,156.0
YHR089C,33,12.0,70.0
YGR283C,26,3.0,30.0
YHR052W,115,,
YKR024C,14,11.0,79.0
YER025W,26,137.0,185.0
YDR060W,117,8.0,66.0
YMR229C,92,5.0,84.0
YOR206W,94,,
YOR361C,36,5.0,46.0
YJL122W,38,,16.0
YJL033W,59,16.0,77.0
YJL050W,81,16.0,129.0
YOR001W,383,32.0,145.0
YOL076W,4,20.0,110.0
YPR131C,5,1.0,8.0
YLR002C,21,3.0,69.0
YOR243C,5,4.0,50.0
YJL098W,39,4.0,25.0
YDL047W,56,13.0,7.0
YDR293C,33,181.0,397.0
YER172C,74,60.0,382.0
YER146W,39,,
YGL173C,46,42.0,144.0
YCR077C,63,147.0,256.0
YLR438C-A,45,35.0,233.0
YDR378C,30,48.0,239.0
YDR473C,30,4.0,78.0
YDR117C,4,37.0,168.0
YDR429C,28,9.0,17.0
YBR154C,30,11.0,61.0
YDR432W,69,12.0,19.0
YPR137W,37,7.0,26.0
YOL021C,35,6.0,107.0
YDR280W,33,3.0,26.0
YGR095C,19,,
YHR081W,11,26.0,16.0
YPR110C,68,12.0,51.0
YJL148W,18,51.0,159.0
YJL011C,18,,2.0
YKL144C,16,236.0,185.0
YNR003C,22,7.0,76.0
YOR116C,31,13.0,98.0
YOR341W,30,12.0,159.0
YNL248C,18,141.0,251.0
YMR131C,13,6.0,59.0
YPL178W,168,19.0,17.0
YMR125W,69,17.0,32.0
YDR364C,8,3.0,89.0
YDR083W,4,13.0,48.0
YDR138W,25,11.0,7.0
YML062C,21,11.0,99.0
YDL084W,15,5.0,100.0
YNL139C,13,,2.0
YHR167W,26,29.0,187.0
YMR091C,27,,
YDR303C,35,2.0,36.0
YLR033W,19,11.0,127.0
YFR037C,29,25.0,174.0
YLR357W,33,7.0,30.0
YKR008W,24,20.0,128.0
YGR275W,45,7.0,8.0
YML127W,15,4.0,145.0
YOL135C,65,30.0,164.0
YER022W,72,6.0,88.0
YGR104C,58,,
YAL043C,33,1.0,91.0
YBR123C,22,12.0,136.0
YBR119W,73,7.0,36.0
YKL012W,29,4.0,102.0
YDR240C,35,2.0,44.0
YGL043W,19,28.0,149.0
YDR101C,89,4.0,40.0
YOL041C,13,15.0,41.0
YLR196W,33,29.0,83.0
YGR245C,43,1.0,78.0
YBR267W,26,7.0,49.0
YOR112W,8,1.0,21.0
YHR027C,358,24.0,86.0
YHR200W,368,49.0,150.0
YDL097C,36,64.0,271.0
YOR261C,25,83.0,322.0
YFR010W,40,23.0,212.0
YGL048C,50,42.0,179.0
YMR309C,34,13.0,152.0
YDR091C,47,14.0,37.0
YOR260W,13,32.0,184.0
YDR211W,11,3.0,34.0
YLR347C,51,41.0,215.0
YNL189W,135,29.0,147.0
YLL036C,115,2.0,15.0
YKL059C,21,32.0,177.0
YLR432W,20,2.0,46.0
YGR173W,11,9.0,36.0
YDR152W,6,7.0,8.0
YPR103W,36,32.0,151.0
YOL038W,36,26.0,115.0
YML092C,156,28.0,81.0
YNL141W,2,,
YBL074C,5,50.0,120.0
YOR335C,3,20.0,97.0
YDR361C,7,4.0,44.0
YAL021C,38,18.0,107.0
YCR093W,28,8.0,172.0
YMR128W,479,,7.0
YGL099W,61,6.0,29.0
YGL122C,160,44.0,172.0
YMR080C,56,2.0,53.0
YJL061W,25,5.0,120.0
YBL017C,3,,19.0
YDR496C,60,14.0,31.0
YPL212C,5,3.0,18.0
YNL292W,3,1.0,26.0
YOL010W,12,2.0,8.0
YBR049C,19,253.0,319.0
YNL282W,13,64.0,234.0
YMR239C,15,31.0,153.0
YDL051W,3,8.0,34.0
YIL078W,2,58.0,183.0
YDR172W,135,49.0,167.0
YDR120C,4,4.0,60.0
YDL112W,3,23.0,33.0
YBR061C,3,1.0,14.0
YPL183C,5,2.0,35.0
YLR435W,15,4.0,1.0
YBL039C,35,2.0,53.0
YBR025C,3,2.0,31.0
YKL014C,68,,
YGR187C,48,14.0,53.0
YBR236C,4,44.0,212.0
YNR016C,7,21.0,149.0
YLR359W,2,6.0,21.0
YMR300C,4,9.0,25.0
YPR180W,4,22.0,191.0
YLR127C,13,17.0,59.0
YBR128C,34,7.0,37.0
YKL135C,18,3.0,55.0
YBL037W,7,1.0,19.0
YPL195W,526,7.0,72.0
YGR261C,14,16.0,74.0
YBR288C,5,20.0,116.0
YIL062C,5,50.0,222.0
YLR370C,8,3.0,155.0
YNR035C,8,19.0,259.0
YJR065C,13,293.0,321.0
YDL029W,36,17.0,160.0
YBR234C,17,5.0,52.0
YHR013C,21,16.0,58.0
YDL040C,23,,27.0
YDR127W,15,24.0,187.0
YJL115W,83,16.0,116.0
YJR148W,4,16.0,65.0
YDL070W,8,9.0,53.0
YBR200W,56,41.0,233.0
YKR068C,18,7.0,117.0
YBR254C,14,33.0,259.0
YJL031C,4,219.0,507.0
YDR099W,245,4.0,38.0
YAR014C,62,30.0,84.0
YLR074C,75,72.0,58.0
YKL007W,5,2.0,46.0
YIL034C,6,10.0,117.0
YPL111W,8,,31.0
YHR086W,62,8.0,48.0
YLR175W,102,64.0,65.0
YAL035W,36,,
YER168C,2,13.0,103.0
YPR025C,14,9.0,89.0
YNR052C,29,,16.0
YFR028C,169,12.0,126.0
YAL041W,37,19.0,219.0
YBR160W,561,34.0,234.0
YBR135W,42,31.0,227.0
YLR314C,106,137.0,385.0
YOL139C,33,,
YDL165W,23,8.0,140.0
YLR103C,31,4.0,101.0
YBR202W,44,5.0,80.0
YDL126C,51,149.0,364.0
YBR170C,15,,
YBL058W,30,36.0,276.0
YGR048W,25,13.0,115.0
YGL190C,49,34.0,186.0
YAL016W,19,,
YML109W,20,5.0,28.0
YPR016C,78,57.0,249.0
YER126C,39,,
YKR081C,249,12.0,67.0
YMR213W,51,41.0,165.0
YLR117C,38,6.0,154.0
YGL130W,20,44.0,319.0
YDR301W,24,7.0,58.0
YLR115W,17,56.0,199.0
YKR002W,22,,25.0
YNL317W,27,,
YMR061W,28,15.0,87.0
YLR277C,15,,
YGL206C,12,1.0,3.0
YAL032C,83,11.0,150.0
YOR250C,14,7.0,109.0
YDR228C,20,34.0,167.0
YBR155W,18,,
YDL145C,24,89.0,318.0
YFR051C,12,61.0,266.0
YBL045C,79,,
YDL067C,5,11.0,64.0
YDR155C,14,1.0,41.0
YBR103W,16,21.0,114.0
YNL232W,90,94.0,305.0
YGR195W,26,7.0,71.0
YBR158W,5,,
YMR078C,16,21.0,180.0
YKL139W,53,74.0,187.0
YMR240C,38,15.0,111.0
YJL005W,10,23.0,87.0
YNL138W,8,36.0,200.0
YGR155W,15,4.0,50.0
YNL118C,52,40.0,230.0
YHR164C,17,40.0,193.0
YAR007C,120,,1.0
YKL213C,39,49.0,249.0
YGL240W,19,14.0,134.0
YPR175W,48,,
YBR278W,10,24.0,185.0
YAL059W,20,5.0,34.0
YBR065C,17,8.0,118.0
YBL047C,20,6.0,81.0
YGR200C,17,22.0,157.0
YGR254W,8,5.0,32.0
YBR247C,206,7.0,68.0
YNL132W,31,,30.0
YCL059C,450,24.0,97.0
YDL060W,42,4.0,86.0
YOR056C,30,26.0,140.0
YFL024C,23,,
YOR244W,197,60.0,204.0
YNL061W,55,75.0,184.0
YNL110C,145,19.0,3.0
YML126C,17,13.0,107.0
YML130C,7,68.0,170.0
YAR002C-A,7,7.0,16.0
YAL007C,27,4.0,34.0
YBR102C,18,14.0,125.0
YDR021W,5,8.0,57.0
YJR093C,24,30.0,194.0
YNL135C,39,8.0,98.0
YLR060W,3,9.0,88.0
YBR207W,6,,20.0
YKR026C,32,4.0,33.0
YDR283C,53,20.0,98.0
YFR009W,5,17.0,110.0
YER136W,10,3.0,90.0
YER031C,18,13.0,155.0
YHR108W,19,2.0,57.0
YER122C,18,59.0,342.0
YGL142C,1,26.0,181.0
YGR163W,12,7.0,58.0
YGL237C,37,5.0,74.0
YPL001W,36,12.0,5.0
YEL056W,14,4.0,9.0
YNL021W,14,22.0,144.0
YBR009C,382,6.0,67.0
YCL030C,5,,
YOL123W,22,,18.0
YOL133W,66,,
YMR288W,14,89.0,100.0
YML049C,11,1.0,89.0
YBR272C,30,4.0,30.0
YOL068C,13,7.0,35.0
YBL002W,103,2.0,47.0
YBR107C,22,2.0,44.0
YBR011C,16,53.0,134.0
YIL026C,15,,57.0
YNL265C,20,1.0,33.0
YBR245C,29,2.0,49.0
YPL082C,90,,
YOL004W,43,95.0,370.0
YOR304W,13,18.0,120.0
YBR017C,66,43.0,107.0
YIL125W,14,1.0,57.0
YDR148C,12,31.0,157.0
YAR018C,87,15.0,84.0
YER036C,50,,
YER082C,41,18.0,167.0
