systematic name	common name	Simple Type	Half-Life           (in minutes)
YNL112W	DBP2	CDS	3
YKL078W	DHR2	CDS	3
YCL036W	GFD2	CDS	4
YOR095C	RKI1	CDS	4
YBR296C	PHO89	CDS	5
YNL141W	AAH1	CDS	5
YJR047C	ANB1	CDS	5
YMR128W	ECM16	CDS	5
YBL004W	UTP20	CDS	5
YPL012W	RRP12	CDS	5
YNL132W	KRE33	CDS	5
YIL019W	FAF1	CDS	5
YOR341W	RPA190	CDS	5
YLL008W	DRS1	CDS	5
YBL039C	URA7	CDS	5
YMR229C	RRP5	CDS	5
YML056C	YML056C	CDS	5
YPR010C	RPA135	CDS	5
YAL059W	ECM1	CDS	6
YDL148C	NOP14	CDS	6
YKL143W	LTV1	CDS	6
YKL216W	URA1	CDS	6
YGR103W	NOP7	CDS	6
YGL158W	RCK1	CDS	6
YDL063C	YDL063C	CDS	6
YGR245C	SDA1	CDS	6
YGL171W	ROK1	CDS	6
YBL054W	YBL054W	CDS	6
YHR197W	RIX1	CDS	6
YDR281C	PHM6	CDS	6
YJL033W	HCA4	CDS	6
YPR112C	MRD1	CDS	6
YCL059C	KRR1	CDS	6
YMR049C	ERB1	CDS	6
YJL050W	MTR4	CDS	6
YIR026C	YVH1	CDS	6
YOR287C	YOR287C	CDS	6
YML093W	UTP14	CDS	6
YDL153C	SAS10	CDS	6
YGL078C	DBP3	CDS	7
YNL182C	IPI3	CDS	7
YCR057C	PWP2	CDS	7
YMR290C	HAS1	CDS	7
YDR324C	UTP4	CDS	7
YDR101C	ARX1	CDS	7
YHR040W	BCD1	CDS	7
YKR024C	DBP7	CDS	7
YIL064W	YIL064W	CDS	7
YCR087C-A	YCR087C-A	CDS	7
YHR169W	DBP8	CDS	7
YDR060W	MAK21	CDS	7
YJL109C	UTP10	CDS	7
YOR004W	YOR004W	CDS	7
YHR085W	IPI1	CDS	7
YDR465C	RMT2	CDS	7
YHR066W	SSF1	CDS	7
YPL183C	YPL183C	CDS	7
YOR272W	YTM1	CDS	7
YNL151C	RPC31	CDS	7
YDR021W	FAL1	CDS	7
YDR083W	YDR083W	CDS	7
YIL103W	YIL103W	CDS	8
YOR340C	RPA43	CDS	8
YIL096C	YIL096C	CDS	8
YMR259C	YMR259C	CDS	8
YPL266W	DIM1	CDS	8
YKL014C	URB1	CDS	8
YDR496C	PUF6	CDS	8
