ORF	clone identifier
YAL001C	YAL001C::1EP_A1
YAL002W	YAL002W::21NP_A8
YAL003W	YAL003W::13EP_A1
YAL005C	YAL005C::21NP_A7
YAL007C	YAL007C::21NP_A6
YAL008W	YAL008W::21NP_A5
YAL009W	YAL009W::21NP_A4
YAL010C	YAL010C::21NP_A3
YAL011W	YAL011W::21NP_A2
YAL012W	YAL012W::41NP_F8
YAL013W	YAL013W::21NP_A1
YAL015C	YAL015C::20NP_H11
YAL016C-B	YAL016C-B::43NP_A1
YAL016W	YAL016W::41NP_F9
YAL017W	YAL017W::20NP_H10
YAL018C	YAL018C::20NP_H9
YAL019W	YAL019W::20NP_H8
YAL020C	YAL020C::20NP_H7
YAL021C	YAL021C::20NP_H6
YAL021C	YAL021C::44NP_C3
YAL022C	YAL022C::20NP_H5
YAL023C	YAL023C::20NP_H4
YAL024C	YAL024C::23NP_B7
YAL025C	YAL025C::13EP_A2
YAL026C	YAL026C::20NP_H3
YAL027W	YAL027W::20NP_H2
YAL028W	YAL028W::20NP_H1
YAL029C	YAL029C::20NP_G12
YAL030W	YAL030W::20NP_G11
YAL031C	YAL031C::20NP_G10
YAL032C	YAL032C::13EP_A3
YAL033W	YAL033W::13EP_A4
YAL034C	YAL034C::20NP_G9
YAL034W-A	YAL034W-A::13EP_A5
YAL037C-A	YAL037C-A::43NP_A2
YAL038W	YAL038W::13EP_A6
YAL039C	YAL039C::20NP_G5
YAL040C	YAL040C::20NP_G4
YAL041W	YAL041W::13EP_A7
YAL042W	YAL042W::20NP_G3
YAL043C	YAL043C::1EP_A9
YAL044C	YAL044C::20NP_G2
YAL044W-A	YAL044W-A::43NP_A3
YAL046C	YAL046C::20NP_G1
YAL047C	YAL047C::41NP_F10
YAL048C	YAL048C::20NP_F12
YAL049C	YAL049C::20NP_F11
YAL049C	YAL049C::44NP_C2
YAL051W	YAL051W::20NP_F10
YAL053W	YAL053W::20NP_F9
YAL054C	YAL054C::37NP_E6
YAL055W	YAL055W::20NP_F8
YAL056W	YAL056W::20NP_F7
YAL058W	YAL058W::20NP_F6
YAL059W	YAL059W::20NP_F5
YAL060W	YAL060W::20NP_F4
YAL062W	YAL062W::20NP_F2
YAL064C-A	YAL064C-A::2NP_A1
YAL067C	YAL067C::20NP_E12
YAL068C	YAL068C::20NP_E11
YAR002C-A	YAR002C-A::17NP_H6
YAR002W	YAR002W::21NP_A9
YAR003W	YAR003W::21NP_A10
YAR007C	YAR007C::13EP_A9
YAR008W	YAR008W::13EP_A10
YAR015W	YAR015W::21NP_A12
YAR018C	YAR018C::21NP_B1
YAR019C	YAR019C::12EP_A1
YAR020C	YAR020C::21NP_B2
YAR023C	YAR023C::21NP_B3
YAR027W	YAR027W::21NP_B4
YAR028W	YAR028W::21NP_B5
YAR029W	YAR029W::21NP_B6
YAR031W	YAR031W::21NP_B7
YAR035C-A	YAR035C-A::43NP_A4
YAR035W	YAR035W::21NP_B8
YAR042W	YAR042W::45NP_F10
YBL001C	YBL001C::20NP_A1
YBL002W	YBL002W::47NP_C6
YBL003C	YBL003C::20NP_A2
YBL005W	YBL005W::20NP_A3
YBL006C	YBL006C::20NP_A4
YBL007C	YBL007C::20NP_A5
YBL008W	YBL008W::20NP_A6
YBL008W-A	YBL008W-A::43NP_A5
YBL009W	YBL009W::20NP_A7
YBL010C	YBL010C::20NP_A8
YBL011W	YBL011W::20NP_A9
