UID,BC187_YPD_Avg_log2_Fitness_Score,BC187_FDR,BY4743_YPD_Avg_log2_Fitness_Score,BY4743_FDR,DBVPG1373_YPD_Avg_log2_Fitness_Score,DBVPG1373_FDR,NCYC3290_YPD_Avg_log2_Fitness_Score,NCYC3290_FDR,Y12_YPD_Avg_log2_Fitness_Score,Y12_FDR,Y2209_YPD_Avg_log2_Fitness_Score,Y2209_FDR,Y389_YPD_Avg_log2_Fitness_Score,Y389_FDR,Y7568_YPD_Avg_log2_Fitness_Score,Y7568_FDR,YJM1273_YPD_Avg_log2_Fitness_Score,YJM1273_FDR,YJM1389_YPD_Avg_log2_Fitness_Score,YJM1389_FDR,YJM1592_YPD_Avg_log2_Fitness_Score,YJM1592_FDR,YJM978_YPD_Avg_log2_Fitness_Score,YJM978_FDR,YPS128_YPD_Avg_log2_Fitness_Score,YPS128_FDR,YPS163_YPD_Avg_log2_Fitness_Score,YPS163_FDR,YPS606_YPD_Avg_log2_Fitness_Score,YPS606_FDR
YLR248W,0.121844664,0.589700369,-0.318183546,0.02873703,-0.960879219,0.000272383,-1.367972283,0.004312082,-3.865272312,3.31E-09,-0.272794636,0.586250858,-1.161137695,0.0000145,-0.285957769,0.076748489,-1.171977872,0.00826909,-2.005511513,3.45E-09,-0.42935941,0.329716743,-2.282612937,0.000000881,-3.144128023,0.000000424,-0.751202713,0.000165292,-2.655671427,0.001310627
YJL080C,0.103438334,0.569847764,-0.750228487,0.00000118,#N/A,#N/A,-2.694566426,0.000000681,-3.671276594,1.75E-22,0.267081326,0.514146722,-0.031654376,0.910574362,-0.961354243,6.92E-13,-0.495855964,0.055029742,-1.233368607,0.000000577,-0.382050831,0.195030343,-0.949059787,0.001733745,-1.296229363,0.000528045,-0.561432099,0.000328166,-2.40264059,0.000772059
YGL146C,0.060068046,0.691125512,0.352108501,0.000135009,-0.245376628,0.012088879,-1.082683478,0.0000458,-0.346360811,0.162912941,-0.05131017,0.865991995,0.242816105,0.102701997,0.354338495,0.000156005,-0.460613592,0.034068882,-0.134673561,0.477709808,-0.271692707,0.259461753,0.543658446,0.002473955,-0.703406506,0.025887301,-0.802943896,0.000000133,-1.877976734,0.001299289
YOR198C,-0.101255412,0.596991392,-0.256964093,0.062700925,-2.043087118,3.73E-09,-1.782250782,1.35E-08,-1.248494226,0.00000523,-0.392862091,0.235392327,0.325102378,0.037897033,-0.480781791,0.000086,-0.954237922,0.0000031,-1.359448683,4.19E-10,-0.694586053,0.000448395,-0.769389411,0.004392142,-0.859545128,0.014927775,-0.604940684,0.0000035,#N/A,#N/A
YER123W,0.020034071,0.906217007,-1.313830794,7.16E-20,-2.178762515,1.8E-28,-3.693307908,4.13E-11,-3.172277053,4.37E-26,-0.223322031,0.402723876,-1.866952686,6.19E-21,-0.446178045,0.000000431,-1.922303528,2.16E-19,-1.748146339,2.11E-20,0.035331403,0.909215284,0.016954596,0.947617784,-1.080013304,0.0000579,-1.957887037,1.15E-22,-1.515739409,0.001326991
YPL057C,-0.146036847,0.244776658,0.235989813,0.011313149,0.208014315,0.020233803,-1.21243856,0.00000476,-1.221662626,0.000000044,-0.773059125,0.0000519,0.164081382,0.190910408,-0.540784818,3.12E-09,-1.76752542,4.67E-17,-1.897159029,2.81E-26,-0.248700177,0.280495606,-0.263215349,0.342110201,-1.910638222,1.53E-11,-1.713250006,1.29E-24,-2.043310186,0.00000119
YPR052C,-0.028371441,0.890450543,-0.721012296,6.09E-10,-2.202927476,1.22E-15,-3.705580701,4.86E-17,-1.239736375,0.0000154,-0.662150526,0.00622974,-1.352766214,6.19E-10,0.050437704,0.724728349,-1.6829564,7.97E-15,-0.707236269,0.000876427,0.0600989,0.854138031,-0.572566825,0.067734037,-0.890785505,0.031522769,-1.094535887,1.8E-11,-1.189492005,0.001215122
YCR012W,0.032092688,0.836486595,-0.398623489,0.00000756,-1.40062374,1.88E-09,-2.011289725,6.22E-11,-2.032139944,6.69E-09,-0.462968984,0.076670455,-0.81694114,0.00034913,-0.112571821,0.385457418,-1.953096025,0.001313167,-1.338982687,4.3E-11,-0.341405578,0.334590755,-0.505723639,0.122031961,-1.682724153,0.001107724,-1.477074225,1.16E-15,-2.15139042,0.001840537
YLR220W,-0.136457029,0.308066426,-0.722680435,1.6E-14,-0.998655236,9.63E-16,-1.230524653,0.003141617,-1.476249604,6.34E-10,-0.395173427,0.077168156,-0.584260946,0.000197566,-0.117725658,0.278807812,-1.012551612,1.38E-08,-0.785386023,0.00000554,-0.049800812,0.868429803,0.060091645,0.821516487,-1.447112361,0.000000146,-1.194636851,6.6E-18,-1.225169014,0.005714706
YDR333C,-0.121177502,0.40463362,0.003068837,0.993711455,-0.57608655,0.0000241,-1.933080631,0.000078,-1.9014883,4.68E-12,-0.334044044,0.283613203,-0.458914734,0.007438571,-0.211643926,0.089380664,-0.640557644,0.000467079,-1.081400719,2.93E-08,-0.306100067,0.2737992,0.144662002,0.674316632,-1.266666013,0.003974627,-0.798739812,0.00000377,-1.010443703,0.168212796
YHR006W,-0.090639764,0.620338277,-0.301477782,0.001053214,-1.084592978,0.000000589,-0.902358241,0.031832708,-2.130377694,6.82E-15,0.176061583,0.577840416,-0.397473359,0.015942618,-0.042670513,0.71842917,-0.744020534,0.000566594,-1.613354607,4.26E-16,0.018352538,0.977591289,0.220480166,0.430037991,-1.143407906,0.006026486,-0.396915405,0.009599089,-2.297480796,0.025454531
YEL040W,-0.098118355,0.50854636,0.361776822,0.000385446,-0.901608196,1.48E-10,-1.325675599,0.009021592,-1.525765697,3.68E-09,0.594441026,0.025128044,-0.212425076,0.29299023,-0.033499557,0.74134257,-0.553574424,0.002201196,-0.852385712,0.00000261,-0.236424655,0.368946086,0.2066984,0.660852315,-1.858488104,7.64E-12,-0.931482814,1.93E-08,-1.379230162,0.052169851
YML025C,-0.273222994,0.117922343,0.149870027,0.140257016,#N/A,#N/A,-2.532974817,2.97E-12,-3.278951611,1.51E-12,-0.046052181,0.900964174,-0.206017743,0.361200428,-0.101222992,0.463775434,-2.367206875,1.02E-12,-1.809712565,1.01E-13,-0.296293171,0.35067248,-0.211349769,0.489243875,-2.917111613,8.35E-08,-1.513003832,4.16E-16,-1.484678553,0.002635222
