Majority protein IDs,hYPS1009 wt rep1,hYPS1009 wt rep2,hYPS1009 wt rep3
YGR192C,5.8771E+11,6.5082E+11,6.46E+11
YHR174W,3.7766E+11,4.1958E+11,4.0597E+11
YLR044C,3.82E+11,3.4675E+11,3.9954E+11
YPR080W;YBR118W,2.7831E+11,2.8414E+11,2.7242E+11
YCR012W,3.1238E+11,3.5161E+11,3.0448E+11
YLL024C,2.8744E+11,3.2114E+11,2.8309E+11
YOR063W,2.0445E+11,2.2387E+11,2.043E+11
YDL229W,2.5529E+11,2.6116E+11,2.5086E+11
YLR249W,2.533E+11,2.2849E+11,2.5391E+11
YOR133W;YDR385W,2.3334E+11,2.143E+11,2.4615E+11
YHL033C,1.838E+11,1.9211E+11,1.9618E+11
YIL018W;YFR031C-A,1.9457E+11,2.1456E+11,1.8975E+11
YPL061W,1.4704E+11,1.476E+11,1.4967E+11
YGL123W,1.4789E+11,1.6192E+11,1.5608E+11
YJR145C;YHR203C,1.6881E+11,2.0924E+11,1.9582E+11
YAL038W,1.8622E+11,1.6061E+11,1.8924E+11
YKL060C,1.6118E+11,1.8068E+11,1.6456E+11
YMR186W,1.3989E+11,1.4198E+11,1.494E+11
YLR441C,1.5199E+11,1.5442E+11,1.6657E+11
YKL152C,1.3369E+11,1.5485E+11,1.5268E+11
YLR075W,1.2385E+11,1.5806E+11,1.422E+11
YJR123W,1.3551E+11,1.6536E+11,1.4452E+11
YJR045C,1.0245E+11,1.2031E+11,1.0146E+11
YGL008C,1.329E+11,1.3494E+11,1.3749E+11
YBR031W;YDR012W,1.2739E+11,1.3843E+11,1.2903E+11
YOL086C,1.1062E+11,1.0027E+11,1.1409E+11
YOR096W,1.0349E+11,1.2682E+11,1.1967E+11
YPL090C;YBR181C,1.1196E+11,1.2089E+11,1.3049E+11
YER165W,93310000000,1.0812E+11,89126000000
YPL231W,94736000000,95862000000,99788000000
YNL178W,1.1824E+11,1.2077E+11,1.1152E+11
YDR050C,97099000000,1.0622E+11,1.0032E+11
YGL076C,89933000000,92183000000,92731000000
YLR259C,66594000000,76900000000,67741000000
YOL120C;YNL301C,70786000000,83365000000,81845000000
YPL106C,80895000000,87763000000,78489000000
YML026C;YDR450W,83213000000,98813000000,1.0515E+11
YMR142C,68085000000,85869000000,80040000000
YIL133C,58268000000,77280000000,69481000000
YPL131W,1.0271E+11,89913000000,93182000000
YLR029C,68057000000,77519000000,75995000000
YER102W;YBL072C,99936000000,1.1257E+11,1.0842E+11
YBR084C-A;YBL027W,88135000000,1.0204E+11,1.1243E+11
YKL180W,77291000000,82661000000,81037000000
YBR189W,73645000000,76903000000,88598000000
YLR340W,62394000000,60240000000,56319000000
YBR196C,74722000000,68352000000,77108000000
YBR191W,77969000000,91841000000,90311000000
YJL080C,56405000000,58461000000,57390000000
YFL039C,69955000000,67077000000,69335000000
YKL182W,66355000000,55399000000,68979000000
YAL003W,56619000000,62203000000,71080000000
YDR025W;YBR048W,66514000000,75224000000,76623000000
YBL099W,45802000000,49367000000,48164000000
YLR150W,95187000000,80528000000,1.0167E+11
YDL055C,43075000000,35321000000,46594000000
YKL056C,59541000000,59365000000,71045000000
YPL220W;YGL135W,65470000000,63134000000,65068000000
YJL034W,42791000000,43630000000,45213000000
YLR180W,50807000000,54490000000,49032000000
YLR304C,42672000000,51325000000,42029000000
YEL034W,74550000000,76889000000,94425000000
YOR198C,43566000000,51225000000,52906000000
YGR155W,54449000000,63187000000,54184000000
YBR079C,48580000000,55092000000,48111000000
YOL040C,55893000000,66960000000,64418000000
YDR155C,59886000000,64138000000,64119000000
YPR102C;YGR085C,67956000000,71044000000,68620000000
YMR116C,45674000000,40474000000,47083000000
YLR448W,61545000000,75381000000,75032000000
YEL054C;YDR418W,40714000000,55256000000,46582000000
YOR312C;YMR242C,44535000000,55937000000,49953000000
YOR027W,37720000000,42095000000,37884000000
YNL069C,35318000000,48542000000,45033000000
YHL015W,92240000000,99129000000,1.0702E+11
YLR048W,44920000000,39981000000,45194000000
YJR121W,38039000000,35959000000,37540000000
YMR143W;YDL083C,49481000000,58094000000,56295000000
YHR010W;YDR471W,78190000000,93204000000,87356000000
YER043C,43085000000,41892000000,43281000000
YCL043C,32036000000,36147000000,30691000000
YPR132W;YGR118W,68297000000,69351000000,77113000000
YPR074C,40315000000,43785000000,42339000000
YOL127W,40515000000,51617000000,40437000000
YHR064C,38489000000,40321000000,39156000000
YNL302C,43872000000,47093000000,49923000000
YJL191W,62636000000,74637000000,57255000000
YML028W,37200000000,33308000000,38244000000
YGL103W,47068000000,54168000000,55522000000
YIL053W,35617000000,40884000000,38457000000
YNL067W,59364000000,69026000000,58362000000
YKL081W,55605000000,48582000000,57279000000
YLR355C,53341000000,51841000000,56148000000
