Gene	Gene Systematic Name	Phenotype	Experiment Type	Experiment Type Category	Mutant Information	Strain Background	Chemical	Details	Reference
AAR2	YBL074C	inviable 	systematic mutation set	large-scale survey	null Allele: aar2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
AAT2	YLR027C	inviable 	systematic mutation set comparison of deletion mutant phenotypes between S288C and Sigma1278b strains	large-scale survey	null Allele: aat2-Δ	Sigma1278b			Dowell RD, et al. (2010) PMID:20413493
ABD1	YBR236C	inviable 	systematic mutation set	large-scale survey	null Allele: abd1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ABF1	YKL112W	inviable 	systematic mutation set	large-scale survey	null Allele: abf1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ACC1	YNR016C	inviable 	systematic mutation set	large-scale survey	null Allele: acc1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ACP1	YKL192C	inviable 	systematic mutation set	large-scale survey	null Allele: acp1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ACS2	YLR153C	inviable 	systematic mutation set	large-scale survey	null Allele: acs2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ACT1	YFL039C	inviable 	systematic mutation set	large-scale survey	null Allele: act1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ADE13	YLR359W	inviable 	systematic mutation set	large-scale survey	null Allele: ade13-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ADK1	YDR226W	inviable 	systematic mutation set comparison of deletion mutant phenotypes between S288C and Sigma1278b strains	large-scale survey	null Allele: adk1-Δ	Sigma1278b			Dowell RD, et al. (2010) PMID:20413493
AFG2	YLR397C	inviable 	systematic mutation set	large-scale survey	null Allele: afg2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
AIM26	YKL037W	inviable 	homozygous diploid, systematic mutation set	large-scale survey	null Allele: aim26-Δ	SK1			Rabitsch KP, et al. (2001) PMID:11470404
ALA1	YOR335C	inviable 	systematic mutation set	large-scale survey	null Allele: ala1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ALG1	YBR110W	inviable 	systematic mutation set	large-scale survey	null Allele: alg1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ALG13	YGL047W	inviable 	systematic mutation set	large-scale survey	null Allele: alg13-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ALG14	YBR070C	inviable 	systematic mutation set	large-scale survey	null Allele: alg14-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ALG2	YGL065C	inviable 	systematic mutation set	large-scale survey	null Allele: alg2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ALG7	YBR243C	inviable 	systematic mutation set	large-scale survey	null Allele: alg7-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
