Protein.genes.secondaryIdentifier	Protein.proteinHalfLife.units	Protein.proteinHalfLife.value	Protein.proteinHalfLife.publication.firstAuthor	Protein.proteinHalfLife.publication.year
Q0045	hr	10000.0	Christiano R	2014
Q0140	hr	10.8	Christiano R	2014
Q0250	hr	10.1	Christiano R	2014
R0020C	hr	6.4	Christiano R	2014
R0040C	hr	3.3	Christiano R	2014
YAL001C	hr	6.9	Christiano R	2014
YAL003W	hr	9.7	Christiano R	2014
YAL005C	hr	20.2	Christiano R	2014
YAL007C	hr	10.5	Christiano R	2014
YAL009W	hr	14.4	Christiano R	2014
YAL010C	hr	6.0	Christiano R	2014
YAL011W	hr	11.0	Christiano R	2014
YAL012W	hr	12.3	Christiano R	2014
YAL013W	hr	9.0	Christiano R	2014
YAL014C	hr	5.0	Christiano R	2014
YAL015C	hr	7.8	Christiano R	2014
YAL016W	hr	10.6	Christiano R	2014
YAL017W	hr	12.4	Christiano R	2014
YAL019W	hr	7.3	Christiano R	2014
YAL021C	hr	10.6	Christiano R	2014
YAL022C	hr	7.1	Christiano R	2014
YAL023C	hr	8.4	Christiano R	2014
YAL024C	hr	6.8	Christiano R	2014
YAL025C	hr	5.8	Christiano R	2014
YAL026C	hr	9.1	Christiano R	2014
YAL029C	hr	9.2	Christiano R	2014
YAL030W	hr	8.3	Christiano R	2014
YAL031C	hr	8.1	Christiano R	2014
YAL032C	hr	4.8	Christiano R	2014
YAL033W	hr	5.9	Christiano R	2014
YAL034W-A	hr	6.7	Christiano R	2014
YAL035W	hr	9.5	Christiano R	2014
YAL036C	hr	6.3	Christiano R	2014
YAL038W	hr	11.7	Christiano R	2014
YAL039C	hr	12.1	Christiano R	2014
YAL041W	hr	7.4	Christiano R	2014
YAL042W	hr	7.5	Christiano R	2014
YAL043C	hr	9.3	Christiano R	2014
YAL044C	hr	7.1	Christiano R	2014
YAL044W-A	hr	3.6	Christiano R	2014
YAL046C	hr	4.7	Christiano R	2014
YAL047C	hr	5.3	Christiano R	2014
YAL049C	hr	6.4	Christiano R	2014
YAL051W	hr	1.4	Christiano R	2014
YAL053W	hr	6.5	Christiano R	2014
YAL055W	hr	9.4	Christiano R	2014
YAL058W	hr	7.2	Christiano R	2014
YAL059W	hr	6.5	Christiano R	2014
YAL060W	hr	6.6	Christiano R	2014
YAR002C-A	hr	9.6	Christiano R	2014
YAR002W	hr	7.6	Christiano R	2014
YAR007C	hr	9.1	Christiano R	2014
YAR008W	hr	17.4	Christiano R	2014
YAR014C	hr	5.5	Christiano R	2014
YAR015W	hr	8.2	Christiano R	2014
YAR018C	hr	5.5	Christiano R	2014
YAR019C	hr	15.3	Christiano R	2014
YAR027W	hr	1.5	Christiano R	2014
YAR028W	hr	2.4	Christiano R	2014
