Chromosome,verified genes,dubious genes,uncharacterized genes,ARS,ltr,ncRNA,snoRNA,tRNA,rRNA,snRNA,Retrotransposon,Total Features,Chr length
1,78,18,16,11,12,1.0,1.0,4.0,0.0,0.0,2.0,143.0,239671
2,360,42,35,23,16,2.0,2.0,13.0,0.0,1.0,1.0,495.0,790641
3,134,17,22,17,15,0.0,4.0,10.0,0.0,0.0,2.0,221.0,312008
4,679,73,61,44,12,0.0,4.0,28.0,0.0,0.0,3.0,904.0,1482091
5,251,51,33,24,34,3.0,5.0,20.0,0.0,1.0,3.0,425.0,567805
6,98,8,13,14,14,4.0,0.0,11.0,0.0,0.0,2.0,164.0,299359
7,463,41,51,29,70,2.0,6.0,37.0,0.0,2.0,3.0,704.0,1071065
8,236,24,36,15,19,2.0,2.0,11.0,0.0,0.0,1.0,346.0,534968
9,180,25,28,16,6,2.0,1.0,10.0,0.0,0.0,0.0,268.0,430085
10,316,29,38,23,15,1.0,5.0,24.0,0.0,0.0,1.0,452.0,721726
11,294,22,18,17,10,0.0,5.0,16.0,0.0,0.0,1.0,383.0,669333
12,431,49,46,28,24,0.0,7.0,21.0,8.0,1.0,1.0,616.0,1005854
13,396,32,51,24,17,3.0,13.0,21.0,0.0,0.0,0.0,557.0,915334
14,342,34,37,20,9,0.0,5.0,14.0,0.0,1.0,0.0,462.0,731293
15,478,52,46,20,24,0.0,11.0,20.0,0.0,0.0,2.0,653.0,1071422
16,411,41,48,29,15,1.0,6.0,17.0,0.0,0.0,1.0,569.0,918474
