	Euploid mean
TAT3	1.476778619609155
YAL001C	4.360343128783315
YAL002W	4.82186221277206
YAL003W	10.93177807582105
YAL005C	7.27739799380235
YAL007C	6.559461719094215
YAL008W	2.554904284129125
YAL009W	3.9302220589522596
YAL010C	3.1653098919876497
YAL011W	3.4046675026582047
YAL012W	10.51902888927885
YAL013W	4.948728692721165
YAL014C	5.55675562010901
YAL015C	3.856565124531245
YAL016W	6.74456451203447
YAL017W	5.505526880255864
YAL019W	5.31404285424859
YAL020C	4.29669597566913
YAL021C	7.584432285407329
YAL022C	6.102270884438095
YAL023C	9.71502703319951
YAL024C	4.539138844331561
YAL025C	5.90321717111547
YAL026C	5.311762792401884
YAL027W	2.2914056443466
YAL028W	1.8629088373231901
YAL029C	6.375667864918125
YAL030W	4.287356907391235
YAL031C	4.708449175298725
YAL032C	3.997195444935765
YAL033W	3.721424752626165
YAL034C	4.370942160895774
YAL034W-A	1.9696596218248552
YAL035W	7.845073328626455
YAL036C	7.14626741400785
YAL037C-A	2.748481072893155
YAL037C-B	0.1987855779357065
YAL037W	1.318057787710005
YAL038W	11.61983931650715
YAL039C	5.308627213870031
YAL040C	7.29886874552966
YAL041W	6.178973740279295
YAL042W	7.778949492287765
YAL043C	6.942982736984455
YAL044C	6.060536713594026
YAL046C	4.00136758185748
YAL047C	2.665566692427195
YAL048C	3.6875325502850753
YAL049C	5.55312974824062
YAL051W	4.38131286801435
YAL053W	7.465352343125694
YAL054C	2.66992211928841
YAL055W	1.535495356604245
YAL056W	4.120857880384095
YAL058W	4.729878639474575
YAL059W	3.8331783707034752
YAL060W	6.47102486992803
YAL061W	2.68881283185647
YAL062W	3.246344647382835
YAL063C	3.78255623280284
YAL064W	-0.29623975805005354
YAL064W-B_2	2.7239968512518997
YAL067C	-0.7776132206240876
YAR002C-A	7.91196532833756
YAR002W	6.2059764294312
YAR003W	5.559364021014735
YAR007C	5.70293368800699
YAR008W	3.538065332843515
YAR014C	6.0860499447812195
YAR015W	6.96952233636393
YAR018C	4.44315662969717
YAR019C	4.2647717453504
YAR019W-A	-0.5356547456950385
YAR020C	1.2275571948692798
YAR023C	2.375584446135245
YAR027W	3.3867054165544053
YAR028W	4.182559772257186
YAR029W	1.533780560976465
YAR030C	1.637862762053115
YAR033W	1.6330777308414701
YAR035W	2.19257286482754
YAR042W	6.1149275702405355
YAR050W	3.4720103155065
YAR068W_1	-0.143503116759145
YAR071W	2.96608243723779
YBL001C	4.672905000254495
YBL002W	9.115965177532054
YBL003C	8.704333959748466
YBL004W	7.02405426146172
YBL005W	4.84256602211925
YBL006C	4.30995785407878
YBL007C	7.708187001732645
YBL008W	4.527320540553076
YBL009W	6.15906511715794
YBL010C	3.3857663114010803
YBL011W	7.07145893226785
YBL012C	-0.22111482501351246
YBL013W	2.7109822153001497
YBL014C	5.118233563480905
YBL015W	5.99564990985224
YBL016W	6.885846994380319
YBL017C	7.375437998509185
YBL018C	3.3044594479508
YBL019W	2.74611044962019
YBL020W	6.58035506341174
YBL021C	3.753668375599525
YBL022C	6.877631102817315
YBL023C	5.187991239987195
YBL024W	7.433996574689175
YBL025W	3.198535918947565
YBL026W	3.53348973670176
YBL027W	10.3477683003423
YBL028C	4.57854355074708
YBL029C-A	2.699982687491505
YBL029W	2.45096206244615
YBL030C	10.3666432549843
YBL031W	3.2596135981850702
YBL032W	6.987900079487085
YBL033C	4.997162531410465
YBL034C	4.035954408208405
YBL035C	4.632006932243895
YBL036C	5.059483890662425
YBL037W	5.196915086520595
YBL038W	5.227847752327049
YBL039C	8.27686979068751
YBL039W-B	0.0043741368203084885
YBL040C	5.47637650448411
YBL041W	6.63657740632934
YBL042C	6.543553905793245
YBL043W	0.061605596504864496
YBL044W	-1.109748524428835
YBL045C	8.720911317818235
YBL046W	3.519552969660205
YBL047C	8.373104952931314
YBL048W	-0.981859081635433
YBL049W	1.691343299865495
YBL050W	5.301824961655165
YBL051C	6.064101828910135
YBL052C	3.35380337522658
YBL054W	6.16866611995036
YBL055C	5.550041623774905
YBL056W	7.1974362945021095
YBL057C	5.7005791581056755
YBL058W	6.624463484594591
YBL059C-A	3.098451389656955
YBL059W	2.268788898185765
YBL060W	3.7783127678194104
YBL061C	5.257625757598765
YBL063W	3.97497164659886
YBL064C	4.806980367946575
YBL066C	5.55618904883941
YBL067C	5.85907640172889
YBL068W	6.128523102446735
YBL069W	4.59923528731493
YBL071C	3.61101841496731
YBL071C-B	-0.533817347837797
YBL071W-A	4.0103540392798145
YBL072C	9.751237447160864
YBL074C	1.5177608494375852
YBL075C	4.264062375355319
YBL076C	9.083864379091224
YBL078C	1.4541126805454199
YBL079W	6.488052598361505
YBL080C	3.9210973460801153
YBL081W	7.280067059403979
YBL082C	6.1478918764404
YBL084C	4.78178502838241
YBL085W	6.24213799350262
YBL086C	3.789594080596375
YBL087C	9.50442770233539
YBL088C	5.002757508228865
YBL089W	5.15141158766641
YBL090W	4.6896727214408
YBL091C	6.97246306628541
YBL091C-A	3.01767824084941
YBL092W	10.42164595524605
YBL093C	5.026956158410285
YBL095W	2.672896261835505
YBL097W	2.346991755518825
YBL098W	5.103485647173825
YBL099W	9.79231548078535
YBL100C	2.613206044729215
YBL100W-C	0.026364956995305007
YBL101C	4.828683900925105
YBL102W	5.486715133710045
YBL103C	4.075339096449655
YBL104C	4.55846688418236
YBL105C	5.94247524114368
YBL106C	4.12993707370574
YBL107C	2.796218566131775
YBR001C	3.42618449047063
YBR002C	5.188216331562545
YBR003W	6.156435302361935
YBR004C	4.39199541321262
YBR005W	4.826845722576746
YBR006W	3.1738354844783547
YBR007C	4.090540096103295
YBR008C	4.74282442749398
YBR009C	8.233305278655674
YBR010W	8.485906787923325
YBR011C	9.66507095773554
YBR012C	-1.1846134579635281
YBR013C	-0.33093485815172796
YBR014C	4.494343460608825
YBR015C	8.036692441331335
YBR016W	6.359016101340155
YBR017C	6.87922217447496
YBR018C	-0.823083423708423
YBR019C	3.89127323703285
YBR020W	2.8143742983092404
YBR021W	5.541126780977515
YBR022W	2.69855553997852
YBR023C	7.56870552572987
YBR024W	3.4019125856930152
YBR025C	9.18438049204869
YBR026C	3.296629809038715
YBR028C	4.970421885068835
YBR029C	7.1162997338751
YBR030W	5.169750075948925
YBR031W	10.163871990862301
YBR032W	0.978775631082581
YBR033W	3.8333200611572646
YBR034C	7.4212986913195405
YBR035C	5.648325998715681
YBR036C	7.975040688966031
YBR037C	5.586361010402445
YBR038W	7.228176259755605
YBR039W	7.530937414490936
YBR041W	6.445467883843341
YBR042C	5.282065404499734
YBR043C	5.2653987976249645
YBR044C	5.23565683612778
YBR045C	0.3235330056070874
YBR046C	2.70608681514174
YBR047W	-0.406059791188269
YBR048W	10.413983267797551
YBR049C	6.101174068284161
YBR050C	-0.7132633905702075
YBR052C	5.3680735363218055
YBR053C	4.780612767155545
YBR054W	3.0831164214265447
YBR055C	4.39907324993767
YBR056W	4.0131349379784655
YBR057C	4.46981189188842
YBR058C	5.531131460988995
YBR058C-A	4.24088674582544
YBR059C	6.16608384266965
YBR060C	4.899987984942046
YBR061C	5.78902328530212
YBR062C	3.31469959136859
YBR063C	2.892045736751455
YBR065C	2.97344255080071
YBR066C	2.280791039937645
YBR067C	5.26708628572291
YBR068C	8.404987385164965
YBR069C	6.8085096199779
YBR070C	4.611343628988205
YBR071W	5.19742653622263
YBR072W	1.8882685280740699
YBR073W	5.393639126742915
YBR074W	6.649411062649075
YBR076C-A	3.34738899670123
YBR076W	-0.87033353678385
YBR077C	5.121443564379485
YBR078W	11.37952170699865
YBR079C	8.974385372029179
YBR080C	6.30732997717131
YBR081C	4.769596856728009
YBR082C	8.21269252224125
YBR083W	6.956832564790584
YBR084C-A	9.729217774100011
YBR084W	8.300024028814569
YBR085C-A	4.862212669786135
YBR085W	2.67454087497385
YBR086C	8.78954856238878
YBR087W	5.007610192928205
YBR088C	3.324012398520245
YBR089C-A	4.854657045333805
YBR091C	3.90719013857345
YBR092C	8.86181948357773
YBR093C	4.63489716868288
YBR094W	5.47560365611326
YBR095C	3.8111527052700396
YBR096W	5.633016164262244
YBR097W	3.69374886226717
YBR098W	2.686648138072875
YBR101C	5.29453568430236
YBR102C	4.69495520123874
YBR103W	4.432331005674265
YBR104W	5.561913511547489
YBR105C	5.05778643681011
YBR106W	9.422539953278996
YBR107C	4.20855451202446
YBR108W	4.87991863097594
YBR109C	7.3919402123914395
YBR109W-A	0.5151951794164855
YBR110W	5.731955071194255
YBR111C	5.21957606753997
YBR111W-A	2.915106479961175
YBR112C	7.4448610185440245
YBR113W	1.64996631151411
YBR114W	3.856565124531245
YBR115C	7.0833343480809
YBR117C	3.296681945719505
YBR119W	3.206964582386545
YBR120C	3.647469028194935
YBR121C	9.13069548478815
YBR122C	5.961650109591625
YBR123C	4.391539568861345
YBR125C	5.44274689333632
YBR126C	7.701310815087175
YBR126W-A	0.902265101654811
YBR126W-B	0.7834820861256715
YBR127C	9.29479816502334
YBR128C	1.441982549784625
YBR129C	3.53344566858987
YBR130C	5.2064866868236805
YBR131W	3.058166645863475
YBR132C	3.418453987927675
