,Chromosome,MEAN RG,verified genes,dubious genes,uncharacterized genes,ARS,ltr,ncRNA,Retrotransposon,snoRNA,tRNA,rRNA,snRNA,Total Features,Chr length,verified & uncharacterized,total genes,model2,model2-,model2_2,model2_2-,model2_neg,model2_neg-,model2_pos,model2_pos-,model2_T,model2_T-,model2_NB,model2_NB-,Nb toxic,model2-/nb genes,model2_T/nb genes
0,1,93.62434818,78,18,16,11,12,1.0,2.0,1.0,4.0,0.0,0.0,143.0,239671,94,112,-49.563162608257215,49.563162608257215,-60.84479991869793,60.84479991869793,-60.84479991869793,60.84479991869793,11.281637310440715,-11.281637310440715,-44.463814891512605,44.463814891512605,-5.099347716744614,5.099347716744614,19,0.5272676873218852,2.3402007837638212
1,1,94.33409285,78,18,16,11,12,1.0,2.0,1.0,4.0,0.0,0.0,143.0,239671,94,112,-49.563162608257215,49.563162608257215,-60.84479991869793,60.84479991869793,-60.84479991869793,60.84479991869793,11.281637310440715,-11.281637310440715,-44.463814891512605,44.463814891512605,-5.099347716744614,5.099347716744614,19,0.5272676873218852,2.3402007837638212
2,1,89.39477629,78,18,16,11,12,1.0,2.0,1.0,4.0,0.0,0.0,143.0,239671,94,112,-49.563162608257215,49.563162608257215,-60.84479991869793,60.84479991869793,-60.84479991869793,60.84479991869793,11.281637310440715,-11.281637310440715,-44.463814891512605,44.463814891512605,-5.099347716744614,5.099347716744614,19,0.5272676873218852,2.3402007837638212
3,1,92.98772065,78,18,16,11,12,1.0,2.0,1.0,4.0,0.0,0.0,143.0,239671,94,112,-49.563162608257215,49.563162608257215,-60.84479991869793,60.84479991869793,-60.84479991869793,60.84479991869793,11.281637310440715,-11.281637310440715,-44.463814891512605,44.463814891512605,-5.099347716744614,5.099347716744614,19,0.5272676873218852,2.3402007837638212
4,2,82.46283906,360,42,35,23,16,2.0,1.0,2.0,13.0,0.0,1.0,495.0,790641,395,437,-185.29864934727942,185.29864934727942,-256.9441321092339,256.9441321092339,-256.9441321092339,256.9441321092339,71.64548276195451,-71.64548276195451,-200.33688808955534,200.33688808955534,15.038238742275915,-15.038238742275915,94,0.46911050467665677,2.1312434903144184
5,2,85.88862201,360,42,35,23,16,2.0,1.0,2.0,13.0,0.0,1.0,495.0,790641,395,437,-185.29864934727942,185.29864934727942,-256.9441321092339,256.9441321092339,-256.9441321092339,256.9441321092339,71.64548276195451,-71.64548276195451,-200.33688808955534,200.33688808955534,15.038238742275915,-15.038238742275915,94,0.46911050467665677,2.1312434903144184
6,2,82.51884444,360,42,35,23,16,2.0,1.0,2.0,13.0,0.0,1.0,495.0,790641,395,437,-185.29864934727942,185.29864934727942,-256.9441321092339,256.9441321092339,-256.9441321092339,256.9441321092339,71.64548276195451,-71.64548276195451,-200.33688808955534,200.33688808955534,15.038238742275915,-15.038238742275915,94,0.46911050467665677,2.1312434903144184
7,2,82.00960784,360,42,35,23,16,2.0,1.0,2.0,13.0,0.0,1.0,495.0,790641,395,437,-185.29864934727942,185.29864934727942,-256.9441321092339,256.9441321092339,-256.9441321092339,256.9441321092339,71.64548276195451,-71.64548276195451,-200.33688808955534,200.33688808955534,15.038238742275915,-15.038238742275915,94,0.46911050467665677,2.1312434903144184
8,3,92.68360007,134,17,22,17,15,0.0,2.0,4.0,10.0,0.0,0.0,221.0,312008,156,173,-98.77301930895705,98.77301930895705,-119.46172009928148,119.46172009928148,-119.46172009928148,119.46172009928148,20.688700790324436,-20.688700790324436,-95.313742174554,95.313742174554,-3.459277134403055,3.459277134403055,46,0.633160380185622,2.072037873359869
9,3,94.9874686,134,17,22,17,15,0.0,2.0,4.0,10.0,0.0,0.0,221.0,312008,156,173,-98.77301930895705,98.77301930895705,-119.46172009928148,119.46172009928148,-119.46172009928148,119.46172009928148,20.688700790324436,-20.688700790324436,-95.313742174554,95.313742174554,-3.459277134403055,3.459277134403055,46,0.633160380185622,2.072037873359869
10,3,93.60647666,134,17,22,17,15,0.0,2.0,4.0,10.0,0.0,0.0,221.0,312008,156,173,-98.77301930895705,98.77301930895705,-119.46172009928148,119.46172009928148,-119.46172009928148,119.46172009928148,20.688700790324436,-20.688700790324436,-95.313742174554,95.313742174554,-3.459277134403055,3.459277134403055,46,0.633160380185622,2.072037873359869
11,3,95.79337268,134,17,22,17,15,0.0,2.0,4.0,10.0,0.0,0.0,221.0,312008,156,173,-98.77301930895705,98.77301930895705,-119.46172009928148,119.46172009928148,-119.46172009928148,119.46172009928148,20.688700790324436,-20.688700790324436,-95.313742174554,95.313742174554,-3.459277134403055,3.459277134403055,46,0.633160380185622,2.072037873359869
12,4,44.97262844,679,73,61,44,12,0.0,3.0,4.0,28.0,0.0,0.0,904.0,1482091,740,813,-448.3027416209305,448.3027416209305,-567.7836584014925,567.7836584014925,-567.7836584014925,567.7836584014925,119.48091678056203,-119.48091678056203,-467.18107921637034,467.18107921637034,18.878337595439888,-18.878337595439888,214,0.60581451570396,2.183089155216684
13,4,44.82758621,679,73,61,44,12,0.0,3.0,4.0,28.0,0.0,0.0,904.0,1482091,740,813,-448.3027416209305,448.3027416209305,-567.7836584014925,567.7836584014925,-567.7836584014925,567.7836584014925,119.48091678056203,-119.48091678056203,-467.18107921637034,467.18107921637034,18.878337595439888,-18.878337595439888,214,0.60581451570396,2.183089155216684
14,4,41.2371134,679,73,61,44,12,0.0,3.0,4.0,28.0,0.0,0.0,904.0,1482091,740,813,-448.3027416209305,448.3027416209305,-567.7836584014925,567.7836584014925,-567.7836584014925,567.7836584014925,119.48091678056203,-119.48091678056203,-467.18107921637034,467.18107921637034,18.878337595439888,-18.878337595439888,214,0.60581451570396,2.183089155216684
15,4,42.90256261,679,73,61,44,12,0.0,3.0,4.0,28.0,0.0,0.0,904.0,1482091,740,813,-448.3027416209305,448.3027416209305,-567.7836584014925,567.7836584014925,-567.7836584014925,567.7836584014925,119.48091678056203,-119.48091678056203,-467.18107921637034,467.18107921637034,18.878337595439888,-18.878337595439888,214,0.60581451570396,2.183089155216684
