Chromosome,MEAN RG,verified genes,dubious genes,uncharacterized genes,ARS,ltr,ncRNA,Retrotransposon,snoRNA,tRNA,rRNA,snRNA,Total Features,Chr length,verified & uncharacterized,total genes
1,93.62434818,78,18,16,11,12,1.0,2.0,1.0,4.0,0.0,0.0,143.0,239671,94,112
1,94.33409285,78,18,16,11,12,1.0,2.0,1.0,4.0,0.0,0.0,143.0,239671,94,112
1,89.39477629,78,18,16,11,12,1.0,2.0,1.0,4.0,0.0,0.0,143.0,239671,94,112
1,92.98772065,78,18,16,11,12,1.0,2.0,1.0,4.0,0.0,0.0,143.0,239671,94,112
2,82.46283906,360,42,35,23,16,2.0,1.0,2.0,13.0,0.0,1.0,495.0,790641,395,437
2,85.88862201,360,42,35,23,16,2.0,1.0,2.0,13.0,0.0,1.0,495.0,790641,395,437
2,82.51884444,360,42,35,23,16,2.0,1.0,2.0,13.0,0.0,1.0,495.0,790641,395,437
2,82.00960784,360,42,35,23,16,2.0,1.0,2.0,13.0,0.0,1.0,495.0,790641,395,437
3,92.68360007,134,17,22,17,15,0.0,2.0,4.0,10.0,0.0,0.0,221.0,312008,156,173
3,94.9874686,134,17,22,17,15,0.0,2.0,4.0,10.0,0.0,0.0,221.0,312008,156,173
3,93.60647666,134,17,22,17,15,0.0,2.0,4.0,10.0,0.0,0.0,221.0,312008,156,173
3,95.79337268,134,17,22,17,15,0.0,2.0,4.0,10.0,0.0,0.0,221.0,312008,156,173
4,44.97262844,679,73,61,44,12,0.0,3.0,4.0,28.0,0.0,0.0,904.0,1482091,740,813
4,44.82758621,679,73,61,44,12,0.0,3.0,4.0,28.0,0.0,0.0,904.0,1482091,740,813
4,41.2371134,679,73,61,44,12,0.0,3.0,4.0,28.0,0.0,0.0,904.0,1482091,740,813
4,42.90256261,679,73,61,44,12,0.0,3.0,4.0,28.0,0.0,0.0,904.0,1482091,740,813
5,76.1135576,251,51,33,24,34,3.0,3.0,5.0,20.0,0.0,1.0,425.0,567805,284,335
5,81.55019917,251,51,33,24,34,3.0,3.0,5.0,20.0,0.0,1.0,425.0,567805,284,335
5,82.48989591,251,51,33,24,34,3.0,3.0,5.0,20.0,0.0,1.0,425.0,567805,284,335
5,74.76841063,251,51,33,24,34,3.0,3.0,5.0,20.0,0.0,1.0,425.0,567805,284,335
7,71.42857143,463,41,51,29,70,2.0,3.0,6.0,37.0,0.0,2.0,704.0,1071065,514,555
7,66.66666667,463,41,51,29,70,2.0,3.0,6.0,37.0,0.0,2.0,704.0,1071065,514,555
7,72.70369481,463,41,51,29,70,2.0,3.0,6.0,37.0,0.0,2.0,704.0,1071065,514,555
7,72.72727273,463,41,51,29,70,2.0,3.0,6.0,37.0,0.0,2.0,704.0,1071065,514,555
8,90.71165188,236,24,36,15,19,2.0,1.0,2.0,11.0,0.0,0.0,346.0,534968,272,296
8,89.9033759,236,24,36,15,19,2.0,1.0,2.0,11.0,0.0,0.0,346.0,534968,272,296
8,83.70998235,236,24,36,15,19,2.0,1.0,2.0,11.0,0.0,0.0,346.0,534968,272,296
8,85.9487193,236,24,36,15,19,2.0,1.0,2.0,11.0,0.0,0.0,346.0,534968,272,296
9,89.64986993,180,25,28,16,6,2.0,0.0,1.0,10.0,0.0,0.0,268.0,430085,208,233
9,92.0402984,180,25,28,16,6,2.0,0.0,1.0,10.0,0.0,0.0,268.0,430085,208,233
9,89.50794003,180,25,28,16,6,2.0,0.0,1.0,10.0,0.0,0.0,268.0,430085,208,233
9,96.45380654,180,25,28,16,6,2.0,0.0,1.0,10.0,0.0,0.0,268.0,430085,208,233
10,84.87407776,316,29,38,23,15,1.0,1.0,5.0,24.0,0.0,0.0,452.0,721726,354,383
10,84.77967973,316,29,38,23,15,1.0,1.0,5.0,24.0,0.0,0.0,452.0,721726,354,383
10,86.64830624,316,29,38,23,15,1.0,1.0,5.0,24.0,0.0,0.0,452.0,721726,354,383
10,82.15917628,316,29,38,23,15,1.0,1.0,5.0,24.0,0.0,0.0,452.0,721726,354,383
11,78.4897287,294,22,18,17,10,0.0,1.0,5.0,16.0,0.0,0.0,383.0,669333,312,334
11,79.56151579,294,22,18,17,10,0.0,1.0,5.0,16.0,0.0,0.0,383.0,669333,312,334
11,78.80036765,294,22,18,17,10,0.0,1.0,5.0,16.0,0.0,0.0,383.0,669333,312,334
11,82.0287439,294,22,18,17,10,0.0,1.0,5.0,16.0,0.0,0.0,383.0,669333,312,334
12,62.76595745,431,49,46,28,24,0.0,1.0,7.0,21.0,8.0,1.0,616.0,1005854,477,526
12,54.54545455,431,49,46,28,24,0.0,1.0,7.0,21.0,8.0,1.0,616.0,1005854,477,526
12,60.63829787,431,49,46,28,24,0.0,1.0,7.0,21.0,8.0,1.0,616.0,1005854,477,526
12,62.3655914,431,49,46,28,24,0.0,1.0,7.0,21.0,8.0,1.0,616.0,1005854,477,526
13,63.2183908,396,32,51,24,17,3.0,0.0,13.0,21.0,0.0,0.0,557.0,915334,447,479
13,53.11164376,396,32,51,24,17,3.0,0.0,13.0,21.0,0.0,0.0,557.0,915334,447,479
13,64.66400431,396,32,51,24,17,3.0,0.0,13.0,21.0,0.0,0.0,557.0,915334,447,479
13,60.99383499,396,32,51,24,17,3.0,0.0,13.0,21.0,0.0,0.0,557.0,915334,447,479
