Transcript.symbol	Transcript.length	Transcript.gene.secondaryIdentifier
""	4080	YAL002W
SC_Transcript_00000190	1060	YAL003W
SC_Transcript_00000748	1054	YAL003W
SC_Transcript_00001429	1207	YAL003W
SC_Transcript_00002770	1252	YAL003W
SC_Transcript_00002845	1047	YAL003W
SC_Transcript_00002879	1163	YAL003W
SC_Transcript_00003192	1033	YAL003W
SC_Transcript_00003509	1027	YAL003W
SC_Transcript_00003660	1151	YAL003W
SC_Transcript_00004079	1228	YAL003W
SC_Transcript_00004114	1071	YAL003W
SC_Transcript_00004409	1063	YAL003W
SC_Transcript_00004622	1144	YAL003W
SC_Transcript_00004698	1216	YAL003W
SC_Transcript_00005199	1158	YAL003W
SC_Transcript_00005539	1059	YAL003W
SC_Transcript_00005542	1083	YAL003W
SC_Transcript_00005590	1061	YAL003W
SC_Transcript_00005752	1092	YAL003W
SC_Transcript_00006286	1065	YAL003W
SC_Transcript_00006999	1073	YAL003W
SC_Transcript_00007218	1210	YAL003W
SC_Transcript_00008058	1223	YAL003W
SC_Transcript_00009485	1228	YAL003W
SC_Transcript_00012082	1084	YAL003W
SC_Transcript_00012804	1057	YAL003W
SC_Transcript_00012851	1078	YAL003W
SC_Transcript_00013294	1053	YAL003W
SC_Transcript_00013502	1047	YAL003W
SC_Transcript_00014270	1208	YAL003W
SC_Transcript_00014404	1039	YAL003W
SC_Transcript_00014420	1102	YAL003W
SC_Transcript_00014608	1221	YAL003W
SC_Transcript_00014740	1247	YAL003W
SC_Transcript_00015524	1170	YAL003W
SC_Transcript_00016939	1202	YAL003W
SC_Transcript_00017418	1045	YAL003W
SC_Transcript_00017422	1078	YAL003W
SC_Transcript_00017620	1233	YAL003W
""	1355	YAL003W
""	1427	YAL003W
""	3355	YAL004W
""	4491	YAL004W
SC_Transcript_00004260	2124	YAL005C
SC_Transcript_00005760	2119	YAL005C
SC_Transcript_00007806	2103	YAL005C
SC_Transcript_00010218	2131	YAL005C
SC_Transcript_00013100	2108	YAL005C
SC_Transcript_00016029	2119	YAL005C
SC_Transcript_00017167	2114	YAL005C
""	2303	YAL005C
""	2321	YAL005C
SC_Transcript_00011159	847	YAL007C
SC_Transcript_00012793	847	YAL007C
SC_Transcript_00014769	853	YAL007C
SC_Transcript_00015034	841	YAL007C
""	1006	YAL007C
""	1040	YAL007C
SC_Transcript_00000872	799	YAL008W
SC_Transcript_00002064	823	YAL008W
SC_Transcript_00002267	764	YAL008W
SC_Transcript_00003177	769	YAL008W
SC_Transcript_00004063	766	YAL008W
SC_Transcript_00004769	799	YAL008W
SC_Transcript_00006098	794	YAL008W
SC_Transcript_00006317	778	YAL008W
SC_Transcript_00007206	777	YAL008W
SC_Transcript_00007234	828	YAL008W
SC_Transcript_00009165	772	YAL008W
SC_Transcript_00009833	783	YAL008W
SC_Transcript_00010443	758	YAL008W
SC_Transcript_00013939	788	YAL008W
SC_Transcript_00016350	772	YAL008W
""	903	YAL008W
""	1206	YAL008W
""	965	YAL009W
""	1358	YAL009W
SC_Transcript_00002863	1606	YAL010C
SC_Transcript_00011917	1601	YAL010C
SC_Transcript_00012363	1624	YAL010C
""	1668	YAL010C
""	1687	YAL010C
SC_Transcript_00000352	1979	YAL011W
""	2015	YAL011W
""	2041	YAL011W
SC_Transcript_00006422	1333	YAL012W
SC_Transcript_00006882	1339	YAL012W
SC_Transcript_00009120	1348	YAL012W
SC_Transcript_00011284	1387	YAL012W
SC_Transcript_00011624	1338	YAL012W
SC_Transcript_00011855	1353	YAL012W
SC_Transcript_00014705	1389	YAL012W
SC_Transcript_00014837	1382	YAL012W
SC_Transcript_00015351	1354	YAL012W
SC_Transcript_00016899	1344	YAL012W
""	1414	YAL012W
""	1646	YAL012W
""	1380	YAL013W
""	1389	YAL013W
""	1011	YAL014C
""	1041	YAL014C
""	1352	YAL015C
""	1354	YAL015C
SC_Transcript_00001324	2057	YAL016W
SC_Transcript_00001833	2084	YAL016W
SC_Transcript_00004024	2079	YAL016W
SC_Transcript_00012032	2063	YAL016W
SC_Transcript_00017729	2073	YAL016W
""	2094	YAL016W
""	2097	YAL016W
""	1165	YAL018C
""	3575	YAL019W
""	1135	YAL020C
""	1156	YAL020C
SC_Transcript_00001773	2822	YAL021C
SC_Transcript_00006540	2817	YAL021C
""	2867	YAL021C
""	2870	YAL021C
SC_Transcript_00017654	1629	YAL022C
""	1732	YAL022C
""	1739	YAL022C
SC_Transcript_00002391	2477	YAL023C
SC_Transcript_00013123	2509	YAL023C
SC_Transcript_00016860	2504	YAL023C
""	2528	YAL023C
""	2577	YAL023C
SC_Transcript_00000659	1117	YAL025C
SC_Transcript_00015077	1111	YAL025C
""	1223	YAL025C
""	1229	YAL025C
""	983	YAL027W
""	988	YAL027W
""	1714	YAL028W
""	2120	YAL028W
SC_Transcript_00001700	604	YAL030W
SC_Transcript_00002333	636	YAL030W
SC_Transcript_00002841	599	YAL030W
SC_Transcript_00002998	588	YAL030W
SC_Transcript_00005634	593	YAL030W
SC_Transcript_00009996	598	YAL030W
SC_Transcript_00013276	631	YAL030W
""	749	YAL030W
""	797	YAL030W
""	2444	YAL031C
""	2491	YAL031C
""	1312	YAL032C
""	1392	YAL032C
SC_Transcript_00000636	599	YAL033W
SC_Transcript_00004999	616	YAL033W
SC_Transcript_00008478	604	YAL033W
SC_Transcript_00013593	612	YAL033W
""	696	YAL033W
""	712	YAL033W
SC_Transcript_00001925	1957	YAL034C
SC_Transcript_00007308	1972	YAL034C
SC_Transcript_00010962	1983	YAL034C
""	2037	YAL034C
""	2039	YAL034C
""	427	YAL034C-B
SC_Transcript_00005351	981	YAL034W-A
SC_Transcript_00006627	976	YAL034W-A
SC_Transcript_00011636	958	YAL034W-A
""	1063	YAL034W-A
""	1070	YAL034W-A
SC_Transcript_00008375	3154	YAL035W
SC_Transcript_00011783	3127	YAL035W
""	3191	YAL035W
""	3194	YAL035W
""	1429	YAL036C
""	2027	YAL036C
""	339	YAL037C-A
""	2938	YAL037W
""	2947	YAL037W
SC_Transcript_00002993	1679	YAL038W
SC_Transcript_00003630	1676	YAL038W
SC_Transcript_00003970	1690	YAL038W
SC_Transcript_00004363	1696	YAL038W
SC_Transcript_00004452	1688	YAL038W
SC_Transcript_00004991	1714	YAL038W
SC_Transcript_00005549	1724	YAL038W
SC_Transcript_00005668	1718	YAL038W
SC_Transcript_00006109	1685	YAL038W
SC_Transcript_00008366	1699	YAL038W
SC_Transcript_00008482	1708	YAL038W
SC_Transcript_00008898	1702	YAL038W
SC_Transcript_00009644	1694	YAL038W
SC_Transcript_00009965	1707	YAL038W
SC_Transcript_00010492	1729	YAL038W
SC_Transcript_00011081	1670	YAL038W
SC_Transcript_00011095	1681	YAL038W
SC_Transcript_00014411	1742	YAL038W
SC_Transcript_00015513	1736	YAL038W
SC_Transcript_00016644	1773	YAL038W
SC_Transcript_00017478	1731	YAL038W
""	1804	YAL038W
""	1971	YAL038W
SC_Transcript_00001109	935	YAL039C
SC_Transcript_00001855	918	YAL039C
SC_Transcript_00003291	929	YAL039C
SC_Transcript_00006974	923	YAL039C
SC_Transcript_00009222	912	YAL039C
SC_Transcript_00010181	929	YAL039C
""	1013	YAL039C
""	1441	YAL039C
""	2252	YAL040C
""	2392	YAL040C
""	2690	YAL041W
""	2693	YAL041W
SC_Transcript_00007715	1347	YAL042W
SC_Transcript_00009053	1360	YAL042W
SC_Transcript_00010323	1353	YAL042W
""	1395	YAL042W
""	1411	YAL042W
SC_Transcript_00006383	2475	YAL043C
SC_Transcript_00014409	2458	YAL043C
SC_Transcript_00015963	2480	YAL043C
""	2480	YAL043C
""	2569	YAL043C
SC_Transcript_00000297	589	YAL044C
SC_Transcript_00000568	586	YAL044C
SC_Transcript_00001498	618	YAL044C
SC_Transcript_00002189	590	YAL044C
SC_Transcript_00003498	595	YAL044C
SC_Transcript_00004345	607	YAL044C
SC_Transcript_00005146	594	YAL044C
SC_Transcript_00006130	606	YAL044C
SC_Transcript_00006225	628	YAL044C
SC_Transcript_00006729	623	YAL044C
SC_Transcript_00009048	630	YAL044C
SC_Transcript_00009107	609	YAL044C
SC_Transcript_00011056	600	YAL044C
SC_Transcript_00011989	623	YAL044C
SC_Transcript_00012041	613	YAL044C
SC_Transcript_00013304	618	YAL044C
SC_Transcript_00014606	616	YAL044C
SC_Transcript_00014805	616	YAL044C
SC_Transcript_00014816	623	YAL044C
SC_Transcript_00014904	611	YAL044C
SC_Transcript_00016181	604	YAL044C
SC_Transcript_00016198	599	YAL044C
""	720	YAL044C
""	746	YAL044C
SC_Transcript_00002145	450	YAL044W-A
SC_Transcript_00002503	461	YAL044W-A
SC_Transcript_00002532	488	YAL044W-A
SC_Transcript_00003318	499	YAL044W-A
SC_Transcript_00004011	483	YAL044W-A
SC_Transcript_00006774	494	YAL044W-A
SC_Transcript_00007386	461	YAL044W-A
SC_Transcript_00007963	439	YAL044W-A
SC_Transcript_00009280	456	YAL044W-A
SC_Transcript_00009449	450	YAL044W-A
SC_Transcript_00009882	431	YAL044W-A
SC_Transcript_00011275	445	YAL044W-A
SC_Transcript_00011538	526	YAL044W-A
SC_Transcript_00013129	456	YAL044W-A
SC_Transcript_00015043	451	YAL044W-A
SC_Transcript_00015975	445	YAL044W-A
""	985	YAL044W-A
""	1035	YAL044W-A
SC_Transcript_00002785	519	YAL046C
SC_Transcript_00007926	494	YAL046C
SC_Transcript_00015324	501	YAL046C
SC_Transcript_00016498	509	YAL046C
""	574	YAL046C
""	637	YAL046C
SC_Transcript_00011916	1953	YAL047C
SC_Transcript_00014366	1930	YAL047C
""	1952	YAL047C
""	1955	YAL047C
""	844	YAL047W-A
""	854	YAL047W-A
SC_Transcript_00000816	961	YAL049C
SC_Transcript_00000823	921	YAL049C
SC_Transcript_00001147	911	YAL049C
SC_Transcript_00005518	875	YAL049C
SC_Transcript_00006911	909	YAL049C
SC_Transcript_00008753	926	YAL049C
SC_Transcript_00010220	921	YAL049C
SC_Transcript_00010242	916	YAL049C
SC_Transcript_00010630	882	YAL049C
SC_Transcript_00010722	885	YAL049C
SC_Transcript_00011568	934	YAL049C
SC_Transcript_00011690	905	YAL049C
SC_Transcript_00012441	869	YAL049C
SC_Transcript_00014954	929	YAL049C
SC_Transcript_00015879	877	YAL049C
SC_Transcript_00016299	887	YAL049C
SC_Transcript_00016395	882	YAL049C
SC_Transcript_00016810	893	YAL049C
SC_Transcript_00017622	910	YAL049C
""	1861	YAL049C
""	2391	YAL049C
SC_Transcript_00000621	2545	YAL053W
SC_Transcript_00002722	2553	YAL053W
SC_Transcript_00005632	2573	YAL053W
""	2582	YAL053W
""	2637	YAL053W
""	2360	YAL054C
SC_Transcript_00002878	643	YAL055W
SC_Transcript_00009125	650	YAL055W
SC_Transcript_00009455	641	YAL055W
SC_Transcript_00009645	628	YAL055W
