,Label,geneLen,GC_content,median_IUPRED,5UTR_PARS_RNAstructure,CDS_PARS_RNAstructure,3UTR_PARS_RNAstructure,%AA_A,%AA_C,%AA_D,%AA_E,%AA_F,%AA_G,%AA_H,%AA_I,%AA_K,%AA_L,%AA_M,%AA_N,%AA_P,%AA_Q,%AA_R,%AA_S,%AA_T,%AA_V,%AA_W,%AA_Y,%Helical,%Proteinturn,%Beta-sheet,Acidic AA%,Basic AA%,Polar AA%,Hydrophobic AA%,Charged AA%,number of physical interaction,number of positive genetic interaction,number of negative genetic interaction,"number of ppi, all","number of ppi, score >= 0.25","number of ppi, score > 0.5","number of ppi, score > 0.8","number of ppi, score >= 0.95",RNAseq Eupl,rna logFC,rna FC - other,MS mean,log2(MS),Imputed log2(MS),protein_synthesis_rate,real_protein_synthesis_rate,Ribo_profilling_init_rate,Ribo_profilling_ribo_num,Ribo_profilling_trans_rate,Ribo_profilling_trans_time,Ribo_profilling_delay_time,IDR ratio,Control Median,control Localization,Number of complexe,Sum d0 Pause Score,Sum Odds Ratio,Introns median length,intron length,Intron status,aliphaticIndex,aromaticityScore,cai,codonBias,fopScore,gravyScore,instabilityIndex,molecularWeight,pI,5'-UTR_length,3'-UTR_length,protein half-life (hr),mRNA half-life (min),ORF.length,median transcript length,Ubiquitilation number,Phosphorylation number,is in complex,is essential,alpha IDRratio,A3D mean score,A3D ratio,A3D mean +score,has disordered region,has transmembrane domain,flDPnn_disorder,PSIPRED_helix,PSIPRED_strand,PSIPRED_coil,MMseq2_low_conservation,MMseq2_high_conservation,MMseq2_median,SignalP,DFLpred_linker,ASAquick_buried,DisoRDPbind_RNA,DisoRDPbind_DNA,DisoRDPbind_PRO,MoRFchibi_morf,DRNApred_RNA,DRNApred_DNA,SCRIBER_PRO,PTM_content,haploinsufficient
YAL002W,0,3825.0,37.1765,0.0719,,,,0.0392,0.0204,0.0541,0.0627,0.0463,0.0353,0.0235,0.08,0.062,0.1263,0.0118,0.0588,0.0369,0.0416,0.0322,0.1012,0.0525,0.0643,0.011,0.0392,0.3671,0.2322,0.24,0.11680000000000001,0.1177,0.3137,0.41809999999999997,0.23450000000000001,10.0,41.0,217.0,21.0,18.0,9.0,8.0,5.0,4.82186221277206,0.796229530970449,0.8820322805406057,13210333.333333334,23.655163643660643,23.655163643660643,,,0.025,7.65,0.024,321.702,2.411,0.0164705882352941,19.55,punctate,1.0,,,,,0.0,98.8,0.1,0.13,0.05,0.46,-0.09,42.28,144934.1,5.69,,,,45.0,3825.0,4080.0,3.0,2.0,1.0,0.0,0.07849293563579278,-0.8856824175824174,0.09183673469387756,0.06447708006279436,0.0,0.0,0.001,0.494,0.137,0.369,0.21,0.06,2.07,0.0,0.024,0.474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035,0
YAL003W,1,621.0,44.6055,0.3494,-0.715384615384615,1.21717552334943,0.303319047619047,0.1546,0.0048,0.1063,0.1063,0.0483,0.029,0.0145,0.058,0.087,0.058,0.0193,0.029,0.029,0.0435,0.0097,0.0725,0.0386,0.058,0.0145,0.0145,0.2512,0.1594,0.3382,0.2126,0.1112,0.20290000000000002,0.4252,0.3238,5.0,1.0,9.0,49.0,42.0,5.0,4.0,4.0,10.93177807582105,0.732577377900402,1.0499968007770721,63300666666.666664,35.88150164273059,35.88150164273059,86238.7526086956,8.33816610254372,,,,,,0.178743961352657,,,1.0,12.430000000000001,18.85,365.0,365.0,1.0,72.18,0.08,0.76,0.78,0.88,-0.42,41.79,22603.0,4.05,13,210.0,9.7,,987.0,1092.0,8.0,30.0,1.0,1.0,0.0970873786407767,-1.3300048543689322,0.1553398058252427,0.08437184466019416,0.0,0.0,0.461,0.515,0.126,0.359,0.06,0.09,2.57,0.0,0.0,0.17,0.0,0.01,0.068,0.0,0.015,0.0,0.0,0.073,0
YAL005C,1,1929.0,44.0643,0.3807,0.66046875,1.00350777604976,-0.125212598425196,0.0933,0.0047,0.0762,0.0793,0.0435,0.0778,0.0078,0.0622,0.0824,0.0747,0.0124,0.0498,0.0435,0.0358,0.0404,0.0638,0.07,0.0638,0.0016,0.0156,0.2613,0.2348,0.2597,0.1555,0.1306,0.23970000000000002,0.3671,0.28609999999999997,588.0,0.0,0.0,516.0,205.0,25.0,11.0,2.0,7.27739799380235,1.25065204268751,-0.3807063024135935,13867333333.333334,33.690971335294115,33.690971335294115,230014.330434783,22.2393951108381,0.25,15.854,0.161,98.542,1.962,0.2317262830482115,18.27,below threshold,0.0,66.37,32.94,,,0.0,78.82,0.06,0.71,0.8,0.89,-0.44,31.9,69636.8,4.73,64,127.0,20.2,72.0,1929.0,2119.0,32.0,64.0,1.0,0.0,0.059190031152647975,-1.1345817757009344,0.03582554517133956,0.011671183800623054,1.0,0.0,0.051,0.422,0.167,0.411,0.05,0.05,2.58,0.0,0.0,0.382,0.0,0.0,0.065,0.0,0.002,0.0,0.0,0.053,0
YAL007C,0,648.0,37.037,0.0632,0.536045588235294,0.494137345679011,-0.035873015873016,0.0741,0.0093,0.0556,0.0602,0.0509,0.037,0.0046,0.1019,0.0648,0.1019,0.0139,0.0648,0.0185,0.0231,0.0278,0.088,0.0741,0.0741,0.0093,0.0417,0.3796,0.2083,0.25,0.11579999999999999,0.09719999999999998,0.30100000000000005,0.4678,0.21299999999999997,27.0,4.0,34.0,61.0,55.0,16.0,4.0,1.0,6.559461719094215,0.693757743579519,0.8682283994760416,357156666.6666667,28.41198181398519,28.41198181398519,,,0.188,6.925,0.139,49.842,2.755,0.0,62.49,punctate:ER,1.0,,,,,0.0,104.56,0.1,0.23,0.25,0.59,0.15,33.28,24058.8,4.74,68,126.0,10.5,28.0,648.0,850.0,,,1.0,0.0,0.04186046511627907,0.2306381395348837,0.40930232558139534,0.9235506976744182,0.0,1.0,0.009,0.423,0.214,0.363,0.2,0.06,2.12,1.0,0.028,0.274,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.051,0
YAL009W,0,780.0,41.4103,0.069,-0.191923076923076,0.069565384615385,0.032086956521739,0.0615,0.0077,0.0462,0.05,0.0654,0.0423,0.0192,0.0808,0.0654,0.0731,0.0115,0.0385,0.0269,0.0423,0.0923,0.0962,0.0538,0.0692,0.0231,0.0308,0.3423,0.2038,0.1962,0.09620000000000001,0.1769,0.2693,0.4154,0.2731,7.0,15.0,152.0,20.0,11.0,6.0,1.0,1.0,3.93022205895226,1.18244636600377,1.0862315215469172,,,25.40098446274713,,,0.069,4.523,0.058,78.306,5.778,0.1384615384615384,19.48,cytosol,1.0,,,,,0.0,79.54,0.12,0.11,0.02,0.45,-0.32,51.52,30130.0,10.61,26,115.0,14.4,30.0,780.0,1161.5,,10.0,1.0,0.0,0.10810810810810811,-0.44229922779922776,0.3590733590733591,0.49219073359073345,1.0,1.0,0.185,0.459,0.193,0.348,0.16,0.07,2.21,0.0,0.035,0.232,0.0,0.0,0.066,0.0,0.0,0.02,0.012,0.081,0
YAL010C,0,1482.0,36.7072,0.19855,,,,0.0344,0.0101,0.0587,0.0425,0.0567,0.0344,0.0223,0.0486,0.0587,0.1194,0.0121,0.0769,0.0364,0.0364,0.0405,0.1336,0.0891,0.0304,0.0162,0.0405,0.3117,0.2814,0.2085,0.10120000000000001,0.12150000000000001,0.38659999999999994,0.3583,0.2227,10.0,14.0,115.0,29.0,24.0,19.0,10.0,6.0,3.1653098919876497,0.71905117555005,0.7265058314804482,26160000.0,24.640859260196425,24.640859260196425,,,0.013,1.582,0.012,131.492,1.262,0.0,14.72,below threshold,2.0,,,,,0.0,74.95,0.11,0.12,-0.04,0.4,-0.47,35.65,56236.5,7.34,20,99.0,6.0,26.0,1482.0,1624.0,,,1.0,0.0,0.21906693711967545,-0.37739513184584184,0.3488843813387424,0.33049330628803236,0.0,0.0,0.045,0.4,0.181,0.419,0.2,0.05,2.1,0.0,0.049,0.347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059,0
YAL011W,0,1878.0,41.5868,0.55985,,,,0.0591,0.0048,0.0639,0.1102,0.0224,0.0288,0.0144,0.0447,0.1358,0.0735,0.0304,0.0447,0.0463,0.0511,0.0639,0.0751,0.0495,0.0479,0.0096,0.0224,0.2204,0.1949,0.2732,0.1741,0.21409999999999998,0.24760000000000001,0.31,0.38820000000000005,13.0,26.0,180.0,61.0,42.0,29.0,20.0,12.0,3.4046675026582047,1.03627961604852,1.1158828487028611,100875333.33333333,26.587998214165697,26.587998214165697,,,0.044,6.802,0.041,166.569,7.027,0.5575079872204473,18.21,below threshold,1.0,,,,,0.0,60.54,0.05,0.15,0.09,0.49,-1.11,60.26,72531.5,9.79,,99.0,11.0,29.0,1878.0,2015.0,,24.0,1.0,0.0,0.2896,-1.79381152,0.0912,0.06596975999999999,1.0,0.0,0.261,0.522,0.066,0.412,0.28,0.05,1.98,0.0,0.013,0.254,0.002,0.013,0.155,0.0,0.0,0.0,0.0,0.072,0
YAL012W,0,1185.0,48.692,0.2575,1.20757575757575,1.06555021097046,0.528910891089109,0.1038,0.0,0.0532,0.0532,0.0354,0.0709,0.0354,0.0608,0.0557,0.1013,0.0076,0.0557,0.043,0.038,0.0329,0.0734,0.0709,0.0759,0.0051,0.0253,0.3038,0.243,0.2658,0.1064,0.124,0.2633,0.4152,0.2304,1.0,9.0,73.0,43.0,36.0,4.0,2.0,0.0,10.51902888927885,1.19689637925061,0.9242252670470819,27738333333.333332,34.69116205439643,34.69116205439643,42747.1195652174,4.13309066467341,0.178,10.354,0.134,77.477,3.773,0.060759493670886,18.91,below threshold,0.0,2.3899999999999997,6.390000000000001,,,0.0,93.53,0.07,0.42,0.62,0.78,-0.14,30.26,42535.4,6.52,66,101.0,12.3,24.0,1185.0,1353.5,3.0,28.0,0.0,1.0,0.0,-0.6063558375634518,0.12436548223350254,0.08546852791878172,1.0,0.0,0.066,0.442,0.157,0.401,0.05,0.08,2.52,0.0,0.041,0.378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046,0
YAL013W,0,1218.0,51.4778,0.4034,0.294545454545454,0.138028503562944,0.02547619047619,0.0616,0.0148,0.0813,0.1355,0.0172,0.0222,0.0246,0.0517,0.069,0.0911,0.0222,0.0591,0.0443,0.0567,0.0493,0.064,0.0542,0.0345,0.0049,0.0394,0.2389,0.1897,0.3103,0.2168,0.1429,0.2882,0.3226,0.3597,11.0,95.0,378.0,42.0,36.0,30.0,15.0,10.0,4.948728692721165,1.39961291464247,1.550641686952469,180983333.33333334,27.431281613414956,27.431281613414956,,,0.069,7.851,0.059,133.238,20.104,0.4532019704433497,14.3,below threshold,1.0,,,,,,,,,,,,,,,33,42.0,9.0,29.0,1218.0,1384.5,,21.0,1.0,0.0,0.38765432098765434,-1.3285656790123455,0.21728395061728395,0.18834691358024688,1.0,0.0,0.472,0.546,0.057,0.397,0.18,0.06,2.21,0.0,0.0,0.249,0.0,0.0,0.338,0.0,0.0,0.0,0.002,0.074,0
YAL015C,0,1200.0,43.4167,0.1969,0.0,0.090508333333333,0.011739130434783,0.0375,0.0125,0.0525,0.075,0.015,0.0475,0.0125,0.07,0.09,0.105,0.03,0.035,0.0575,0.055,0.0425,0.065,0.06,0.0825,0.025,0.0275,0.325,0.205,0.2475,0.1275,0.14500000000000002,0.255,0.39249999999999996,0.2725,10.0,0.0,7.0,30.0,23.0,1.0,1.0,0.0,3.856565124531245,1.16323472857324,1.0396182177806426,34518666.666666664,25.04087344542054,25.04087344542054,,,0.081,6.899,0.068,101.403,4.423,0.025,20.77,nucleus,0.0,,,,,0.0,90.93,0.07,0.12,0.08,0.47,-0.35,49.0,45579.4,8.18,,115.0,7.8,41.0,1200.0,1353.0,,2.0,0.0,0.0,0.16290726817042606,-0.9116852130325815,0.07518796992481203,0.05330776942355889,0.0,0.0,0.073,0.491,0.115,0.394,0.12,0.09,2.29,0.0,0.028,0.323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0
YAL016C-B,0,186.0,25.8065,0.011,,,,0.0161,0.0,0.0161,0.0806,0.0806,0.0161,0.0161,0.1452,0.0645,0.0968,0.0161,0.0806,0.0323,0.0161,0.0323,0.0806,0.0484,0.0323,0.0,0.1129,0.4677,0.2097,0.2097,0.09670000000000001,0.1129,0.3386,0.5,0.2096,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,25.34141714104749,,,,,,,,0.0,,,0.0,,,,,0.0,98.11,0.2,0.24,0.23,0.58,0.01,47.07,7405.6,7.5,5,273.0,,,186.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0
YAL016W,0,1908.0,38.26,0.0506,0.0,0.322003668763104,0.230571428571428,0.0833,0.011,0.0833,0.0613,0.0425,0.0267,0.0063,0.0739,0.055,0.1431,0.0142,0.055,0.033,0.0425,0.0362,0.0786,0.0456,0.077,0.011,0.0189,0.3664,0.1934,0.3019,0.1446,0.0975,0.2516,0.4639,0.2421,19.0,0.0,0.0,94.0,54.0,26.0,14.0,7.0,6.74456451203447,0.691572076043929,0.7804615052240671,847070000.0,29.657905956428017,29.657905956428017,1954.21426086956,0.188947110367261,0.144,15.948,0.106,149.873,5.554,0.0550314465408805,,,2.0,0.45,5.83,,,0.0,111.12,0.07,0.18,0.13,0.5,0.09,41.8,70873.7,4.31,,70.0,10.6,44.0,1908.0,2079.0,2.0,4.0,1.0,0.0,0.05354330708661417,-0.9116990551181104,0.048818897637795275,0.0315355905511811,1.0,0.0,0.054,0.729,0.02,0.251,0.3,0.04,2.15,0.0,0.0,0.431,0.0,0.0,0.008,0.0,0.0,0.01,0.0,0.05,0
YAL018C,0,978.0,37.8323,0.00825,,,,0.0583,0.0031,0.0153,0.0399,0.1043,0.0644,0.0215,0.0828,0.046,0.1227,0.0307,0.0583,0.0491,0.0368,0.0184,0.0675,0.046,0.0644,0.0061,0.0613,0.4417,0.2393,0.2515,0.0552,0.0859,0.273,0.5306000000000001,0.1411,0.0,0.0,0.0,10.0,3.0,0.0,0.0,0.0,,,,,,25.187257810140586,,,0.116,6.89,0.088,78.68,2.341,0.0368098159509202,14.66,below threshold,0.0,,,,,0.0,99.74,0.17,0.15,0.11,0.49,0.44,38.16,37053.6,8.96,,,,30.0,978.0,1165.0,,,0.0,0.0,0.046153846153846156,0.42926430769230767,0.46153846153846156,0.7838310769230767,0.0,1.0,0.065,0.606,0.095,0.299,0.14,0.12,2.16,0.0,0.0,0.4,0.0,0.0,0.037,0.0,0.0,0.06,0.0,0.022,0
YAL019W,0,3396.0,40.5771,0.4017,,,,0.0583,0.0062,0.0919,0.0751,0.0345,0.0336,0.0194,0.0565,0.0901,0.091,0.0194,0.0724,0.0442,0.0406,0.0442,0.0839,0.0557,0.0486,0.0053,0.0283,0.2641,0.2341,0.2438,0.16699999999999998,0.1537,0.2871,0.3419,0.3207,15.0,4.0,35.0,35.0,24.0,3.0,0.0,0.0,5.31404285424859,0.975477155781638,1.00849708592512,1244600000.0,30.21303500648335,30.21303500648335,,,0.069,15.955,0.057,277.678,7.952,0.3869257950530035,,,0.0,,,,,0.0,73.33,0.07,0.16,0.08,0.48,-0.77,45.48,128470.9,5.04,104,62.0,7.3,10.0,3396.0,3575.0,,90.0,1.0,0.0,0.38726790450928383,-1.2965229885057472,0.07603890362511052,0.05996808134394341,1.0,0.0,0.215,0.431,0.085,0.484,0.21,0.05,2.2,0.0,0.003,0.298,0.0,0.0,0.208,0.0,0.0,0.0,0.0,0.074,0
YAL020C,0,1002.0,55.1896,0.2645,0.0,0.173435129740518,-0.139215686274509,0.0479,0.0359,0.0569,0.0419,0.0299,0.1287,0.0329,0.0299,0.0299,0.0659,0.018,0.0449,0.0419,0.0659,0.0569,0.0539,0.0509,0.1108,0.0269,0.0269,0.2904,0.2695,0.1737,0.0988,0.1197,0.2784,0.3562,0.21850000000000003,2.0,1.0,68.0,27.0,21.0,1.0,1.0,1.0,4.29669597566913,1.4625346975821,1.4729547416781597,,,23.943532060696345,,,0.055,4.45,0.047,95.224,4.161,0.0628742514970059,18.14,below threshold,0.0,,,,,0.0,71.02,0.08,0.06,-0.1,0.36,-0.32,31.54,36463.6,6.72,,51.0,,,1002.0,1145.5,,,0.0,0.0,0.003003003003003003,-0.8764762762762763,0.07807807807807808,0.022086786786786782,0.0,0.0,0.024,0.12,0.345,0.535,0.26,0.07,1.96,0.0,0.162,0.399,0.0,0.021,0.0,0.0,0.021,0.0,0.0,0.042,0
YAL021C,0,2514.0,45.6643,0.2292,0.5214,0.515312251392204,0.09410480349345,0.0609,0.0107,0.0597,0.0418,0.0477,0.0525,0.031,0.0406,0.0621,0.1098,0.0263,0.0883,0.0549,0.0728,0.0298,0.0656,0.0609,0.0406,0.0119,0.031,0.2816,0.2613,0.2387,0.1015,0.12290000000000001,0.32930000000000004,0.3688,0.22440000000000002,38.0,18.0,107.0,83.0,74.0,41.0,14.0,7.0,7.584432285407329,1.10100442539695,1.1397115699493272,739576666.6666666,29.462124470086863,29.462124470086863,,,0.097,15.991,0.084,190.795,5.719,0.3210023866348448,56.78,cytosol,2.0,,,,,,,,,,,,,,,40,229.0,10.6,32.0,2514.0,2844.5,3.0,50.0,1.0,0.0,0.27001194743130225,-0.8655913978494624,0.11708482676224612,0.08766260454002389,1.0,0.0,0.136,0.403,0.122,0.475,0.17,0.08,2.28,0.0,0.005,0.394,0.0,0.008,0.178,0.0,0.0,0.01,0.0,0.047,0
YAL022C,0,1554.0,45.8172,0.01825,-0.464705882352941,0.491672458172459,0.038205128205128,0.0502,0.0077,0.0483,0.0618,0.0772,0.056,0.0174,0.0849,0.0386,0.0985,0.0367,0.0444,0.0309,0.0232,0.0347,0.0927,0.0695,0.0811,0.0154,0.029,0.3861,0.2239,0.2471,0.1101,0.0907,0.2665,0.473,0.2008,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,6.102270884438095,1.23291083693283,1.0005968363843374,32372333.333333332,24.948258064658194,24.948258064658194,,,0.166,15.896,0.117,135.518,7.889,0.137065637065637,,,0.0,,,,,0.0,95.8,0.12,0.12,0.11,0.5,0.26,36.15,58298.6,4.69,34,39.0,7.1,28.0,1554.0,1732.0,4.0,28.0,0.0,0.0,0.1644100580270793,-0.2205659574468085,0.3597678916827853,0.49722940038684715,1.0,1.0,0.168,0.588,0.043,0.369,0.21,0.07,2.1,0.0,0.039,0.478,0.0,0.0,0.075,0.0,0.0,0.0,0.014,0.052,0
YAL027W,0,786.0,38.4224,0.1386,,,,0.0573,0.0076,0.0534,0.0534,0.0344,0.0229,0.0305,0.0992,0.0916,0.1145,0.0153,0.0649,0.0534,0.0458,0.0458,0.0649,0.0534,0.0611,0.0038,0.0229,0.3359,0.2061,0.2405,0.1068,0.1679,0.2595,0.4085,0.27470000000000006,30.0,0.0,5.0,44.0,32.0,11.0,1.0,0.0,2.2914056443466,1.05631028136771,1.1520777209744204,,,26.489952194729252,,,0.083,4.49,0.067,66.723,1.405,0.0572519083969465,16.88,below threshold,0.0,,,,,0.0,102.02,0.06,0.11,-0.01,0.43,-0.26,49.95,29778.0,9.91,,107.0,,28.0,786.0,985.5,,,1.0,0.0,0.2720306513409962,-0.7874298850574714,0.19157088122605365,0.20230727969348672,0.0,0.0,0.069,0.387,0.18,0.433,0.11,0.06,2.22,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038,0
YAL028W,0,1587.0,42.5331,0.5055,,,,0.0586,0.0076,0.0662,0.0529,0.034,0.034,0.0454,0.0397,0.0926,0.087,0.0246,0.0435,0.0567,0.0397,0.0397,0.1607,0.0359,0.0529,0.0038,0.0227,0.2401,0.2949,0.2231,0.1191,0.1777,0.3101,0.3233,0.2968,8.0,0.0,6.0,30.0,13.0,0.0,0.0,0.0,1.86290883732319,0.913651242983969,0.6397439752720094,,,23.676799201285853,,,0.083,10.373,0.07,148.522,10.306,0.6068052930056711,,,0.0,,,,,0.0,67.77,0.06,0.11,0.0,0.42,-0.69,56.79,58757.8,9.25,111,58.0,,69.0,1587.0,1917.0,,4.0,0.0,0.0,0.5018939393939394,-0.8170490530303031,0.2803030303030303,0.32855435606060596,1.0,1.0,0.403,0.475,0.023,0.502,0.17,0.06,2.12,0.0,0.0,0.25,0.0,0.002,0.125,0.0,0.0,0.02,0.0,0.081,0
YAL029C,1,4416.0,37.1603,0.1449,0.040208333333333,0.191551856884059,-0.082285714285714,0.053,0.0102,0.0469,0.0781,0.0469,0.0428,0.0177,0.0815,0.0815,0.108,0.0224,0.0666,0.0299,0.0462,0.0442,0.0707,0.0503,0.053,0.0102,0.0394,0.339,0.2099,0.2615,0.125,0.1434,0.2834,0.4144,0.2684,14.0,13.0,61.0,84.0,48.0,18.0,3.0,2.0,6.375667864918125,0.641591504317234,0.7840590564900463,208576666.66666666,27.636002539563084,27.636002539563084,,,0.02,6.874,0.019,352.95,3.116,0.0163043478260869,15.81,below threshold,0.0,,,,,0.0,89.22,0.1,0.15,0.09,0.49,-0.33,41.67,169346.1,7.71,48,35.0,9.2,30.0,4416.0,,,8.0,1.0,0.0,0.09925220938137322,-0.8875872875594835,0.12168592794017676,0.097448674371176,0.0,0.0,0.0,0.534,0.102,0.364,0.2,0.07,2.21,0.0,0.006,0.476,0.003,0.003,0.0,0.0,0.0,0.01,0.0,0.037,0
