#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AAD6	AAD6	YFL056C	pseudogene	0	0	0	98	0	0	0	0	53	0	0	0	0	32	0	0	0	0	0	0	0	0	13
FDH2	FDH2	YPL275W	pseudogene	0	0	0	180	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	39
HXT12	HXT12	YIL170W	pseudogene	0	0	0	36	0	0	0	0	14	0	0	0	0	6	0	0	0	0	0	0	0	0	16
Q0010_CDS	GENE_Q0010_CDS	Q0010_mRNA	protein_coding	2	0	2	117	0	0	0	0	46	2	0	0	2	0	0	0	0	0	0	0	0	0	71
Q0017_CDS	GENE_Q0017_CDS	Q0017_mRNA	protein_coding	2	0	1	118	0	0	0	0	46	2	0	0	1	0	0	0	0	0	0	0	0	0	72
Q0032_CDS	GENE_Q0032_CDS	Q0032_mRNA	protein_coding	2	1	3	62	0	0	0	0	20	2	0	0	3	0	0	0	0	0	0	0	0	1	42
Q0045_CDS	GENE_Q0045_CDS	Q0045_mRNA	protein_coding	4	11	5	185	0	0	0	0	60	2	0	73	5	0	0	2	5	0	0	1	0	9	56
Q0050_CDS	GENE_Q0050_CDS	Q0050_mRNA	protein_coding	1	1	1	114	0	1	0	0	58	1	0	0	0	0	0	0	0	0	0	0	0	1	56
Q0055_CDS	GENE_Q0055_CDS	Q0055_mRNA	protein_coding	1	2	0	122	0	0	0	0	66	0	0	2	0	0	0	1	1	0	0	0	0	1	56
Q0060_CDS	GENE_Q0060_CDS	Q0060_mRNA	protein_coding	3	16	35	81	0	0	0	0	25	0	0	2	35	0	0	1	1	0	2	0	1	14	56
Q0065_CDS	GENE_Q0065_CDS	Q0065_mRNA	protein_coding	2	3	1	143	0	0	0	0	32	1	0	57	1	0	0	1	1	0	0	1	0	2	56
Q0070_CDS	GENE_Q0070_CDS	Q0070_mRNA	protein_coding	3	5	1	149	0	0	0	0	38	2	0	57	1	0	0	1	3	0	0	1	0	4	56
Q0075_CDS	GENE_Q0075_CDS	Q0075_mRNA	protein_coding	1	7	2	119	0	0	0	0	60	0	0	2	2	0	0	1	1	0	0	0	0	6	59
Q0080_CDS	GENE_Q0080_CDS	Q0080_mRNA	protein_coding	0	0	0	92	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	36
