Name,gene,Chromosome,orf_classification,logFC,logCPM,F,PValue,FDR,model2,Label,Numeric Label,model2_2,model2_neg,model2_pos
YAL001C,TFC3,1,Verified,-3.09291156548584,7.96416616390844,78.9557490743139,8.70386440450713e-08,1.9940483577381e-06,-3.09291156548584,Toxic,1,-3.09291156548584,-3.09291156548584,0.0
YAL002W,VPS8,1,Verified,-1.89488047134964,6.1017726071607,11.3291937609272,0.0036813502663748,0.0093396081604913,-1.89488047134964,Toxic,1,-1.89488047134964,-1.89488047134964,0.0
YAL003W,EFB1,1,Verified,0.529155263342367,8.31442295324853,9.83355051786199,0.0060403245892073,0.0142240908069195,0.529155263342367,Neutral,0,0.0,0.0,0.529155263342367
YAL005C,SSA1,1,Verified,-1.70528834033186,7.31058996388456,32.2807320248735,2.73439153928641e-05,0.0001705347609795,-1.70528834033186,Toxic,1,-1.70528834033186,-1.70528834033186,0.0
YAL007C,ERP2,1,Verified,-0.253810193321254,6.88436732015732,0.940534244821681,0.345777774740492,0.429537023172181,-0.251109961379565,Neutral,0,-0.251109961379565,-0.251109961379565,0.0
YAL008W,FUN14,1,Verified,,,,,,-3.188207311461686,Neutral,0,-3.188207311461686,-3.188207311461686,0.0
YAL009W,SPO7,1,Verified,0.519310391538853,7.73327808009449,8.26854547915209,0.0105164706967886,0.0229071141455611,0.519310391538853,Neutral,0,0.0,0.0,0.519310391538853
YAL010C,MDM10,1,Verified,0.469400572782342,7.94975609225567,6.44724533498462,0.0212111684153872,0.0405118210329914,0.469400572782342,Neutral,0,0.0,0.0,0.469400572782342
YAL011W,SWC3,1,Verified,-1.45554001689117,3.84938604612686,5.25245438286752,0.0349942363674082,0.0623685393272142,-0.251109961379565,Neutral,0,-0.251109961379565,-0.251109961379565,0.0
YAL012W,CYS3,1,Verified,-0.945042166702451,4.55749838392852,1.69762334118185,0.210023969793842,0.283032597780114,-0.251109961379565,Neutral,0,-0.251109961379565,-0.251109961379565,0.0
YAL013W,DEP1,1,Verified,,,,,,-3.188207311461686,Neutral,0,-3.188207311461686,-3.188207311461686,0.0
YAL014C,SYN8,1,Verified,,,,,,-0.3336830189782268,Neutral,0,-0.3336830189782268,-0.3336830189782268,0.0
YAL015C,NTG1,1,Verified,0.470912860141976,8.0292290118578,7.93268818859298,0.0119103450744886,0.0252554712532993,0.470912860141976,Neutral,0,0.0,0.0,0.470912860141976
YAL016W,TPD3,1,Verified,-1.35553454366846,4.54883039945624,1.88289835311796,0.187894388943709,0.257175899466224,-0.251109961379565,Neutral,0,-0.251109961379565,-0.251109961379565,0.0
