Gene,Systematic name,logFC,FDR,geneLen,GC_content,median_IUPRED,%AA_A,%AA_C,%AA_D,%AA_E,%AA_F,%AA_G,%AA_H,%AA_I,%AA_K,%AA_L,%AA_M,%AA_N,%AA_P,%AA_Q,%AA_R,%AA_S,%AA_T,%AA_V,%AA_W,%AA_Y,%Helical,%Proteinturn,%Beta-sheet,Acidic AA%,Basic AA%,Polar AA%,Hydrophobic AA%,Charged AA%,number of physical interaction,number of positive genetic interaction,number of negative genetic interaction,"number of ppi, all","number of ppi, score >= 0.25","number of ppi, score > 0.5","number of ppi, score > 0.8","number of ppi, score >= 0.95",RNAseq Eupl,rna logFC,rna FC - other,Imputed log2(MS),Ribo_profilling_init_rate,Ribo_profilling_trans_rate,IDR ratio,Number of complexe,Intron status,aliphaticIndex,aromaticityScore,cai,codonBias,gravyScore,instabilityIndex,pI,5'-UTR_length,3'-UTR_length,protein half-life (hr),mRNA half-life (min),Ubiquitilation number,Phosphorylation number,is in complex,is essential,variants_impact_HIGH,variants_impact_LOW,variants_impact_MODERATE,variants_impact_MODIFIER,variants_effect_conservative_inframe_deletion,variants_effect_conservative_inframe_insertion,variants_effect_disruptive_inframe_deletion,variants_effect_disruptive_inframe_insertion,variants_effect_downstream_gene_variant,variants_effect_frameshift_variant,variants_effect_intron_variant,variants_effect_missense_variant,variants_effect_splice_region_variant,variants_effect_start_lost,variants_effect_stop_gained,variants_effect_stop_lost,variants_effect_stop_retained_variant,variants_effect_synonymous_variant,variants_effect_upstream_gene_variant,alpha IDRratio,A3D mean score,A3D ratio,A3D mean +score,has disordered region,has transmembrane domain,flDPnn_disorder,PSIPRED_helix,PSIPRED_strand,PSIPRED_coil,MMseq2_low_conservation,MMseq2_high_conservation,MMseq2_median,SignalP,DFLpred_linker,ASAquick_buried,DisoRDPbind_RNA,DisoRDPbind_DNA,DisoRDPbind_PRO,MoRFchibi_morf,DRNApred_RNA,DRNApred_DNA,SCRIBER_PRO,PTM_content,haploinsufficient,Label,Numeric Label,rank,mitotic_cell_cycle,cellular_morphology,regulation of mitotic cell cycle (GO:0007346),prion_inheritance,regulation of cell cycle process (GO:0010564),prions,Prion-like,Sphingolipid Metabolism_WP370,number of genetic interaction,IDR ratio mean,Phosphorylation number norm_geneLen,Ubiquitilation number norm_geneLen,variants_impact_MODERATE norm_geneLen,variants_effect_missense_variant norm_geneLen,variants_impact_LOW norm_geneLen,variants_effect_synonymous_variant norm_geneLen
TFC3,YAL001C,-3.09291156548584,1.9940483577381e-06,3483.0,37.1232,0.2541,0.0448,0.006,0.068,0.0629,0.0362,0.0508,0.0138,0.0749,0.1077,0.0835,0.0146,0.0568,0.0258,0.0319,0.0551,0.0835,0.0646,0.0749,0.0129,0.0301,0.3127,0.2171,0.2059,0.1309,0.1766,0.2729,0.3719,0.3075,13.0,13.0,74.0,41.0,38.0,11.0,9.0,5.0,4.360343128783315,0.846385941012324,0.8838873115616345,26.324612898620792,0.023,0.021,0.0766580534022394,1.0,1.0,83.17,0.08,0.12,-0.03,-0.51,31.78,9.93,20,64.0,6.9,25.0,,24.0,1.0,1.0,0.0,10.0,5.0,34.0,0.0,0.0,0.0,0.0,15.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,9.0,19.0,0.1793103448275862,-1.1336459482758623,0.1172413793103448,0.1014915517241379,1.0,0.0,0.024,0.403,0.164,0.433,0.27,0.04,1.92,0.0,0.004,0.41,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.068,0,Toxic,1,-17.63041342249563,0,0,0,0,0,0,0,0,87.0,0.1279841991149128,9.566851236618678,,1.9930940076288914,1.9930940076288914,3.986188015257783,3.5875692137320048
VPS8,YAL002W,-1.89488047134964,0.0093396081604913,3825.0,37.1765,0.0719,0.0392,0.0204,0.0541,0.0627,0.0463,0.0353,0.0235,0.08,0.062,0.1263,0.0118,0.0588,0.0369,0.0416,0.0322,0.1012,0.0525,0.0643,0.011,0.0392,0.3671,0.2322,0.24,0.1168,0.1177,0.3137,0.4180999999999999,0.2345,10.0,41.0,217.0,21.0,18.0,9.0,8.0,5.0,4.82186221277206,0.796229530970449,0.8820322805406057,23.655163643660643,0.025,0.024,0.0164705882352941,1.0,0.0,98.8,0.1,0.13,0.05,-0.09,42.28,5.69,,,,45.0,3.0,2.0,1.0,0.0,0.0,5.0,3.0,59.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,34.0,0.0784929356357927,-0.8856824175824174,0.0918367346938775,0.0644770800627943,0.0,0.0,0.001,0.494,0.137,0.369,0.21,0.06,2.07,0.0,0.024,0.474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035,0,Toxic,1,-3.845984593076022,0,0,0,0,0,0,0,0,258.0,0.0474817619355434,0.7259551820728292,1.0889327731092437,1.0889327731092437,1.0889327731092437,1.8148879551820727,1.8148879551820727
EFB1,YAL003W,0.529155263342367,0.0142240908069195,621.0,44.6055,0.3494,0.1546,0.0048,0.1063,0.1063,0.0483,0.029,0.0145,0.058,0.087,0.058,0.0193,0.029,0.029,0.0435,0.0097,0.0725,0.0386,0.058,0.0145,0.0145,0.2512,0.1594,0.3382,0.2126,0.1112,0.2029,0.4252,0.3238,5.0,1.0,9.0,49.0,42.0,5.0,4.0,4.0,10.93177807582105,0.732577377900402,1.049996800777072,35.88150164273059,,,0.178743961352657,1.0,1.0,72.18,0.08,0.76,0.78,-0.42,41.79,4.05,13,210.0,9.7,,8.0,30.0,1.0,1.0,0.0,2.0,1.0,51.0,0.0,0.0,0.0,1.0,17.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,32.0,0.0970873786407767,-1.3300048543689322,0.1553398058252427,0.0843718446601941,0.0,0.0,0.461,0.515,0.126,0.359,0.06,0.09,2.57,0.0,0.0,0.17,0.0,0.01,0.068,0.0,0.015,0.0,0.0,0.073,0,Neutral,0,0.9773367985272196,0,0,0,0,0,0,0,0,10.0,0.13791566999671684,67.07194616977226,17.885852311939267,2.2357315389924084,0.0,4.471463077984817,4.471463077984817
SSA1,YAL005C,-1.70528834033186,0.0001705347609795,1929.0,44.0643,0.3807,0.0933,0.0047,0.0762,0.0793,0.0435,0.0778,0.0078,0.0622,0.0824,0.0747,0.0124,0.0498,0.0435,0.0358,0.0404,0.0638,0.07,0.0638,0.0016,0.0156,0.2613,0.2348,0.2597,0.1555,0.1306,0.2397,0.3671,0.2860999999999999,588.0,0.0,0.0,516.0,205.0,25.0,11.0,2.0,7.27739799380235,1.25065204268751,-0.3807063024135935,33.690971335294115,0.25,0.161,0.2317262830482115,0.0,0.0,78.82,0.06,0.71,0.8,-0.44,31.9,4.73,64,127.0,20.2,72.0,32.0,64.0,1.0,0.0,0.0,6.0,1.0,52.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,0.0591900311526479,-1.1345817757009344,0.0358255451713395,0.011671183800623,1.0,0.0,0.051,0.422,0.167,0.411,0.05,0.05,2.58,0.0,0.0,0.382,0.0,0.0,0.065,0.0,0.002,0.0,0.0,0.053,0,Toxic,1,-6.42584549711016,0,1,0,1,0,0,0,0,0.0,0.1454581571004297,46.06371917351699,23.031859586758497,0.719745612086203,0.719745612086203,4.318473672517219,4.318473672517219
ERP2,YAL007C,-0.253810193321254,0.429537023172181,648.0,37.037,0.0632,0.0741,0.0093,0.0556,0.0602,0.0509,0.037,0.0046,0.1019,0.0648,0.1019,0.0139,0.0648,0.0185,0.0231,0.0278,0.088,0.0741,0.0741,0.0093,0.0417,0.3796,0.2083,0.25,0.1157999999999999,0.0971999999999999,0.301,0.4678,0.2129999999999999,27.0,4.0,34.0,61.0,55.0,16.0,4.0,1.0,6.559461719094215,0.693757743579519,0.8682283994760416,28.41198181398519,0.188,0.139,0.0,1.0,0.0,104.56,0.1,0.23,0.25,0.15,33.28,4.74,68,126.0,10.5,28.0,,,1.0,0.0,0.0,1.0,0.0,57.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,0.041860465116279,0.2306381395348837,0.4093023255813953,0.9235506976744182,0.0,1.0,0.009,0.423,0.214,0.363,0.2,0.06,2.12,1.0,0.028,0.274,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.051,0,Neutral,0,-0.0931481878979551,0,0,0,0,0,0,0,0,38.0,0.0209302325581395,,,0.0,0.0,2.1425760582010582,2.1425760582010582
SPO7,YAL009W,0.519310391538853,0.0229071141455611,780.0,41.4103,0.069,0.0615,0.0077,0.0462,0.05,0.0654,0.0423,0.0192,0.0808,0.0654,0.0731,0.0115,0.0385,0.0269,0.0423,0.0923,0.0962,0.0538,0.0692,0.0231,0.0308,0.3423,0.2038,0.1962,0.0962,0.1769,0.2693,0.4154,0.2731,7.0,15.0,152.0,20.0,11.0,6.0,1.0,1.0,3.93022205895226,1.18244636600377,1.0862315215469172,23.645770276062844,0.069,0.058,0.1384615384615384,1.0,0.0,79.54,0.12,0.11,0.02,-0.32,51.52,10.61,26,115.0,14.4,30.0,,10.0,1.0,0.0,0.0,2.0,1.0,53.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,0.1081081081081081,-0.4422992277992277,0.3590733590733591,0.4921907335907334,1.0,1.0,0.185,0.459,0.193,0.348,0.16,0.07,2.21,0.0,0.035,0.232,0.0,0.0,0.066,0.0,0.0,0.02,0.012,0.081,0,Neutral,0,0.8516844241444935,0,0,0,0,0,0,0,0,167.0,0.12328482328482326,17.799862637362637,,1.7799862637362638,1.7799862637362638,3.5599725274725276,3.5599725274725276
MDM10,YAL010C,0.469400572782342,0.0405118210329914,1482.0,36.7072,0.19855,0.0344,0.0101,0.0587,0.0425,0.0567,0.0344,0.0223,0.0486,0.0587,0.1194,0.0121,0.0769,0.0364,0.0364,0.0405,0.1336,0.0891,0.0304,0.0162,0.0405,0.3117,0.2814,0.2085,0.1012,0.1215,0.3865999999999999,0.3583,0.2227,10.0,14.0,115.0,29.0,24.0,19.0,10.0,6.0,3.1653098919876497,0.71905117555005,0.7265058314804482,24.640859260196425,0.013,0.012,0.0,2.0,0.0,74.95,0.11,0.12,-0.04,-0.47,35.65,7.34,20,99.0,6.0,26.0,,,1.0,0.0,0.0,4.0,2.0,50.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,33.0,0.2190669371196754,-0.3773951318458418,0.3488843813387424,0.3304933062880323,0.0,0.0,0.045,0.4,0.181,0.419,0.2,0.05,2.1,0.0,0.049,0.347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059,0,Neutral,0,0.6536019168527578,0,0,0,0,0,0,0,0,129.0,0.1095334685598377,,,1.8736697513013303,1.8736697513013303,3.7473395026026606,3.7473395026026606
SWC3,YAL011W,-1.45554001689117,0.0623685393272142,1878.0,41.5868,0.55985,0.0591,0.0048,0.0639,0.1102,0.0224,0.0288,0.0144,0.0447,0.1358,0.0735,0.0304,0.0447,0.0463,0.0511,0.0639,0.0751,0.0495,0.0479,0.0096,0.0224,0.2204,0.1949,0.2732,0.1741,0.2140999999999999,0.2476,0.31,0.3882,13.0,26.0,180.0,61.0,42.0,29.0,20.0,12.0,3.4046675026582047,1.03627961604852,1.1158828487028611,26.587998214165697,0.044,0.041,0.5575079872204473,1.0,0.0,60.54,0.05,0.15,0.09,-1.11,60.26,9.79,,99.0,11.0,29.0,,24.0,1.0,0.0,0.0,5.0,2.0,53.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,25.0,0.2896,-1.79381152,0.0912,0.0659697599999999,1.0,0.0,0.261,0.522,0.066,0.412,0.28,0.05,1.98,0.0,0.013,0.254,0.002,0.013,0.155,0.0,0.0,0.0,0.0,0.072,0,Neutral,0,-1.753975830255692,0,0,0,0,0,0,0,0,206.0,0.4235539936102236,17.74299406663624,,1.4785828388863533,1.4785828388863533,3.6964570972158834,3.6964570972158834
CYS3,YAL012W,-0.945042166702451,0.283032597780114,1185.0,48.692,0.2575,0.1038,0.0,0.0532,0.0532,0.0354,0.0709,0.0354,0.0608,0.0557,0.1013,0.0076,0.0557,0.043,0.038,0.0329,0.0734,0.0709,0.0759,0.0051,0.0253,0.3038,0.243,0.2658,0.1064,0.124,0.2633,0.4152,0.2304,1.0,9.0,73.0,43.0,36.0,4.0,2.0,0.0,10.51902888927885,1.19689637925061,0.924225267047082,34.69116205439643,0.178,0.134,0.060759493670886,0.0,0.0,93.53,0.07,0.42,0.62,-0.14,30.26,6.52,66,101.0,12.3,24.0,3.0,28.0,0.0,1.0,0.0,2.0,0.0,52.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,32.0,0.0,-0.6063558375634518,0.1243654822335025,0.0854685279187817,1.0,0.0,0.066,0.442,0.157,0.401,0.05,0.08,2.52,0.0,0.041,0.378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046,0,Neutral,0,-0.5180376619061052,0,0,0,0,0,0,0,0,82.0,0.030379746835443,32.805822784810125,3.514909584086799,0.0,0.0,2.3432730560578663,2.3432730560578663
NTG1,YAL015C,0.470912860141976,0.0252554712532993,1200.0,43.4167,0.1969,0.0375,0.0125,0.0525,0.075,0.015,0.0475,0.0125,0.07,0.09,0.105,0.03,0.035,0.0575,0.055,0.0425,0.065,0.06,0.0825,0.025,0.0275,0.325,0.205,0.2475,0.1275,0.145,0.255,0.3924999999999999,0.2725,10.0,0.0,7.0,30.0,23.0,1.0,1.0,0.0,3.856565124531245,1.16323472857324,1.0396182177806426,25.04087344542054,0.081,0.068,0.025,0.0,0.0,90.93,0.07,0.12,0.08,-0.35,49.0,8.18,,115.0,7.8,41.0,,2.0,0.0,0.0,0.0,8.0,1.0,64.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,21.0,0.162907268170426,-0.9116852130325817,0.075187969924812,0.0533077694235588,0.0,0.0,0.073,0.491,0.115,0.394,0.12,0.09,2.29,0.0,0.028,0.323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0,Neutral,0,0.7523513519941923,0,0,0,0,0,0,0,0,7.0,0.093953634085213,2.313982142857143,,1.1569910714285716,1.1569910714285716,9.255928571428573,9.255928571428573
