Name	SGD_Start	SGD_End	5'-UTR_Start	3'-UTR_End	5'-UTR_length	3'-UTR_length	Transcription_level(log2)
YAL069W	335	649					
YAL068W-A	538	792					
YAL068C	2169	1807					
YAL067W-A	2480	2707					
YAL067C	9017	7236					1.584962501
YAL066W	10092	10400					0
YAL065C	11952	11566					0
YAL064W-B	12047	12427					
YAL064C-A	13744	13364					
YAL064W	21526	21852					
YAL063C-A	22687	22397					0
YAL063C	27969	24001					
YAL062W	31568	32941	31390	33035	178	94	3.321928095
YAL061W	33449	34702	33222	34853	227	151	5.882643049
YAL060W	35156	36304	35070	36422	86	118	6.339850003
YAL059W	36510	37148		37249		101	4.614709844
YAL059C-A	36919	36497					
YAL058W	37465	38973	37415	39028	50	55	
YAL056C-A	39047	38697					
YAL056W	39260	41902	39214	41995	46	93	4.169925001
YAL055W	42178	42720	42158	42874	20	154	4.087462841
YAL054C	45023	42882					4.321928095
YAL053W	45900	48251	45791	48304	109	53	5.357552005
YAL051W	48565	51708	48557	51859	8	151	1.584962501
YAL049C	52596	51856	52645	51756	49	100	5.820178962
YAL047W-A	54585	54914					
YAL048C	54790	52802		52723		79	3.459431619
YAL047C	56858	54990		54936		54	
YAL046C	57386	57030	57433	56910	47	120	5.442943496
YAL044W-A	57519	57851		57964		113	
YAL045C	57797	57489					
YAL044C	58463	57951	58470	57890	7	61	
YAL043C	61053	58696	61104	58639	51	57	3.169925001
YAL042W	61317	62564		62648		84	6.794415866
YAL042C-A	61609	61232					
YAL041W	62841	65405	62753	65463	88	58	5.022367813
YAL040C	67521	65779	67840	65768	319	11	4.554588852
YAL039C	69526	68717	69576	68680	50	37	5.357552005
YAL038W	71787	73289	71758	73455	29	166	
YAL037C-B	73301	72327		72251		76	
YAL037C-A	73519	73427	73523	73386	4	41	11.39954497
YAL037W	74021	74824					1
YAL036C	76153	75044	76173	74877	20	167	5.820178962
YAL035W	76428	79436	76407	79540	21	104	
YAL034W-A	79719	80588		80678		90	3.700439718
YAL034C-B	79843	79490					
YAL034C	81952	80711	82050	80587	98	124	3.392317423
YAL033W	82707	83228	82690	83302	17	74	4.285402219
YAL032C	84475	83336	84510	83302	35	34	2.321928095
YAL031W-A	84670	84978					
YAL031C	87032	84750					
YAL030W	87287	87753	87264	87858	23	105	6.400879436
YAL029C	92271	87856	92319	87821	48	35	5.22881869
YAL028W	92901	94487	92790	94545	111	58	4.087462841
YAL027W	94688	95473		95580		107	
YAL026C-A	95824	95387					
YAL026C	99698	95631	99785	95504	87	127	
YAL025C	101146	100226	101170	100061	24	165	5.22881869
YAL024C	105873	101566	105934	101439	61	127	2.169925001
YAL023C	108552	106273	108637	106163	85	110	6.936637939
YAL022C	110431	108878	110465	108839	34	39	5.491853096
YAL021C	113360	110847	113400	110618	40	229	3.700439718
YAL019W-A	114251	114820					
YAL020C	114616	113615		113564		51	3
YAL019W	114920	118315	114816	118377	104	62	4.459431619
YAL018C	119542	118565					0
YAL017W	120226	124296	119858	124485	368	189	
YAL016C-B	124493	124308	124498	124035	5	273	
YAL016W	124880	126787		126857		70	5.62935662
YAL016C-A	125070	124756					0
YAL015C	128103	126904		126789		115	4.584962501
YAL014C	129020	128253	129064	128115	44	138	6.434628228
