,logFC,FDR,FC,geneLen,GC_content,median_IUPRED,5UTR_PARS_RNAstructure,CDS_PARS_RNAstructure,3UTR_PARS_RNAstructure,%AA_A,%AA_C,%AA_D,%AA_E,%AA_F,%AA_G,%AA_H,%AA_I,%AA_K,%AA_L,%AA_M,%AA_N,%AA_P,%AA_Q,%AA_R,%AA_S,%AA_T,%AA_V,%AA_W,%AA_Y,%Helical,%urn,%Beta-sheet,number of physical interaction,number of positive genetic interaction,number of negative genetic interaction,RNAseq RPKM,RNAseq log2(RPKM),MS mean,log2(MS),Imputed log2(MS),protein_synthesis_rate,real_protein_synthesis_rate,Ribo_profilling_init_rate,Ribo_profilling_ribo_num,Ribo_profilling_trans_rate,Ribo_profilling_trans_time,Ribo_profilling_delay_time,IDR ratio,Control Median,control Localization,GOMF,GOBP slim,GOCC slim,Number of complexe,Sum d0 Pause Score,Sum Odds Ratio,intron length,Intron status,aliphaticIndex,aromaticityScore,cai,codonBias,fopScore,gravyScore,instabilityIndex,molecularWeight,pI
EmptyVector,1.64090009306337,0.0155463255518015,3.1186033990225552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.047546537852675,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,
YAL001C,-2.71021237457311,2.3887827688423e-06,0.1528075387413861,3483.0,37.1232,0.2541,,,,0.0448,0.006,0.068,0.0629,0.0362,0.0508,0.0138,0.0749,0.1077,0.0835,0.0146,0.0568,0.0258,0.0319,0.0551,0.0835,0.0646,0.0749,0.0129,0.0301,0.3127,0.2171,0.2059,13.0,13.0,74.0,6.5750821185,2.9212615283625603,84042333.33333333,26.324612898620792,26.324612898620792,,,0.023,6.823,0.021,317.534,5.432,0.0766580534022394,16.83,below threshold,GO:0003676;GO:0003677;GO:0005488,GO:0006139;GO:0006383;GO:0006807;GO:0008152;GO:0009058;GO:0009987;GO:0016043;GO:0016070;GO:0022607;GO:0034622;GO:0034641;GO:0043170;GO:0044237;GO:0044238;GO:0051179;GO:0051641;GO:0065003;GO:0065007,GO:0005654;GO:0005667;GO:0005739;GO:0032991;GO:0043226;GO:0043229;GO:0043231;GO:0043234;GO:0044464,1.0,,,89.0,1.0,83.17,0.08,0.12,-0.03,0.42,-0.51,31.78,132146.8,9.93
YAL002W,-2.05757683692424,0.007592102610771,0.24021916537058557,3825.0,37.1765,0.0719,,,,0.0392,0.0204,0.0541,0.0627,0.0463,0.0353,0.0235,0.08,0.062,0.1263,0.0118,0.0588,0.0369,0.0416,0.0322,0.1012,0.0525,0.0643,0.011,0.0392,0.3671,0.2322,0.24,10.0,41.0,217.0,12.44115709,3.748585433610453,13210333.333333334,23.655163643660643,23.655163643660643,,,0.025,7.65,0.024,321.702,2.411,0.0164705882352941,19.55,punctate,GO:0005488;GO:0005515;GO:0008270;GO:0019899;GO:0043167;GO:0043169;GO:0043495;GO:0046872;GO:0046914;GO:0051020,GO:0006605;GO:0006810;GO:0007034;GO:0009987;GO:0015031;GO:0016192;GO:0016197;GO:0051234,GO:0005768;GO:0016020;GO:0032991;GO:0043226;GO:0043229;GO:0043231;GO:0043234;GO:0044464,1.0,,,,0.0,98.8,0.1,0.13,0.05,0.46,-0.09,42.28,144934.1,5.69
YAL003W,0.730359029463043,0.003075113533624,1.6590519123497542,621.0,44.6055,0.3494,-0.715384615384615,1.21717552334943,0.303319047619047,0.1546,0.0048,0.1063,0.1063,0.0483,0.029,0.0145,0.058,0.087,0.058,0.0193,0.029,0.029,0.0435,0.0097,0.0725,0.0386,0.058,0.0145,0.0145,0.2512,0.1594,0.3382,5.0,1.0,9.0,2142.387352,11.065676881438382,63300666666.666664,35.88150164273059,35.88150164273059,86238.7526086956,8.33816610254372,,,,,,0.178743961352657,,,GO:0003676;GO:0003723;GO:0003746;GO:0005085;GO:0005488;GO:0008135;GO:0030234;GO:0030695;GO:0060589,GO:0006414;GO:0006417;GO:0008152;GO:0009058;GO:0009987;GO:0033043;GO:0043170;GO:0044237;GO:0065007,GO:0032991;GO:0043234;GO:0044464,1.0,12.430000000000001,18.85,365.0,1.0,72.18,0.08,0.76,0.78,0.88,-0.42,41.79,22603.0,4.05
YAL005C,-1.88844031369496,9.47914179891987e-05,0.2700989031504812,1929.0,44.0643,0.3807,0.66046875,1.00350777604976,-0.125212598425196,0.0933,0.0047,0.0762,0.0793,0.0435,0.0778,0.0078,0.0622,0.0824,0.0747,0.0124,0.0498,0.0435,0.0358,0.0404,0.0638,0.07,0.0638,0.0016,0.0156,0.2613,0.2348,0.2597,588.0,,,323.685224125,8.342897921283136,13867333333.333334,33.690971335294115,33.690971335294115,230014.330434783,22.2393951108381,0.25,15.854,0.161,98.542,1.962,0.2317262830482115,18.27,below threshold,GO:0000166;GO:0003824;GO:0005488;GO:0005515;GO:0005524;GO:0016462;GO:0016787;GO:0016817;GO:0016818;GO:0016887;GO:0017076;GO:0017111;GO:0030554;GO:0032553;GO:0032555;GO:0032559;GO:0035639;GO:0051082,GO:0002181;GO:0006412;GO:0006457;GO:0006605;GO:0006810;GO:0008152;GO:0009058;GO:0009987;GO:0015031;GO:0016043;GO:0019538;GO:0022411;GO:0043170;GO:0044237;GO:0044238;GO:0051234;GO:0051261;GO:0055085,GO:0005576;GO:0005618;GO:0005634;GO:0005737;GO:0005844;GO:0016020;GO:0030312;GO:0030529;GO:0032991;GO:0043226;GO:0043229;GO:0043231;GO:0044464,0.0,66.37,32.94,,0.0,78.82,0.06,0.71,0.8,0.89,-0.44,31.9,69636.8,4.73
YAL007C,-0.248948554747944,0.589921791432798,0.8415094892478309,648.0,37.037,0.0632,0.536045588235294,0.494137345679011,-0.035873015873016,0.0741,0.0093,0.0556,0.0602,0.0509,0.037,0.0046,0.1019,0.0648,0.1019,0.0139,0.0648,0.0185,0.0231,0.0278,0.088,0.0741,0.0741,0.0093,0.0417,0.3796,0.2083,0.25,27.0,4.0,34.0,156.67109799999997,7.300774420014341,357156666.6666667,28.41198181398519,28.41198181398519,,,0.188,6.925,0.139,49.842,2.755,0.0,62.49,punctate:ER,,GO:0006810;GO:0009987;GO:0015031;GO:0016192;GO:0048193;GO:0051234;GO:0065007,GO:0016020;GO:0016023;GO:0031982;GO:0043226;GO:0043229;GO:0043231;GO:0044464,1.0,,,,0.0,104.56,0.1,0.23,0.25,0.59,0.15,33.28,24058.8,4.74
YAL009W,0.581224547901972,0.106133562320832,1.4961186032400984,780.0,41.4103,0.069,-0.191923076923076,0.069565384615385,0.032086956521739,0.0615,0.0077,0.0462,0.05,0.0654,0.0423,0.0192,0.0808,0.0654,0.0731,0.0115,0.0385,0.0269,0.0423,0.0923,0.0962,0.0538,0.0692,0.0231,0.0308,0.3423,0.2038,0.1962,7.0,15.0,152.0,11.817165784,3.680005373894098,,,24.226090135748763,,,0.069,4.523,0.058,78.306,5.778,0.1384615384615384,19.48,cytosol,,GO:0006464;GO:0006470;GO:0006629;GO:0006793;GO:0008152;GO:0009987;GO:0016043;GO:0016044;GO:0019538;GO:0030154;GO:0032502;GO:0043170;GO:0043412;GO:0043934;GO:0044237;GO:0044238;GO:0048646;GO:0061024;GO:0065007,GO:0008287;GO:0016020;GO:0032991;GO:0043234;GO:0044464,1.0,,,,0.0,79.54,0.12,0.11,0.02,0.45,-0.32,51.52,30130.0,10.61
YAL010C,0.254063581147314,0.290831231339849,1.1925614286581432,1482.0,36.7072,0.19855,,,,0.0344,0.0101,0.0587,0.0425,0.0567,0.0344,0.0223,0.0486,0.0587,0.1194,0.0121,0.0769,0.0364,0.0364,0.0405,0.1336,0.0891,0.0304,0.0162,0.0405,0.3117,0.2814,0.2085,10.0,14.0,115.0,6.72162345275,2.9489042025450236,26160000.0,24.640859260196425,24.640859260196425,,,0.013,1.582,0.012,131.492,1.262,0.0,14.72,below threshold,,GO:0006461;GO:0006605;GO:0006810;GO:0006869;GO:0006996;GO:0007005;GO:0009987;GO:0015031;GO:0016043;GO:0016044;GO:0022607;GO:0034622;GO:0051234;GO:0061024;GO:0065003,GO:0032991;GO:0043234;GO:0044464,2.0,,,,0.0,74.95,0.11,0.12,-0.04,0.4,-0.47,35.65,56236.5,7.34
YAL011W,-1.98764627036479,0.0319770112117323,0.25214992995414115,1878.0,41.5868,0.55985,,,,0.0591,0.0048,0.0639,0.1102,0.0224,0.0288,0.0144,0.0447,0.1358,0.0735,0.0304,0.0447,0.0463,0.0511,0.0639,0.0751,0.0495,0.0479,0.0096,0.0224,0.2204,0.1949,0.2732,13.0,26.0,180.0,4.4056317485,2.434463233532129,100875333.33333333,26.587998214165697,26.587998214165697,,,0.044,6.802,0.041,166.569,7.027,0.5575079872204473,18.21,below threshold,,GO:0006139;GO:0006325;GO:0006807;GO:0006996;GO:0007029;GO:0008152;GO:0009058;GO:0009987;GO:0016043;GO:0016070;GO:0016568;GO:0034641;GO:0043170;GO:0044237;GO:0044238;GO:0051276;GO:0065007,GO:0016585;GO:0032991;GO:0043234;GO:0044464,1.0,,,,0.0,60.54,0.05,0.15,0.09,0.49,-1.11,60.26,72531.5,9.79
YAL012W,-1.41882291459319,0.180616280222265,0.37401734599994424,1185.0,48.692,0.2575,1.20757575757575,1.06555021097046,0.528910891089109,0.1038,0.0,0.0532,0.0532,0.0354,0.0709,0.0354,0.0608,0.0557,0.1013,0.0076,0.0557,0.043,0.038,0.0329,0.0734,0.0709,0.0759,0.0051,0.0253,0.3038,0.243,0.2658,1.0,9.0,73.0,704.97954825,9.46348257997702,27738333333.333332,34.69116205439643,34.69116205439643,42747.1195652174,4.13309066467341,0.178,10.354,0.134,77.477,3.773,0.060759493670886,18.91,below threshold,GO:0003824;GO:0004123;GO:0005488;GO:0005515;GO:0016829;GO:0016846;GO:0019842;GO:0030170;GO:0042802;GO:0048037;GO:0070279;GO:0080146,GO:0006082;GO:0006520;GO:0006790;GO:0006807;GO:0008152;GO:0009058;GO:0009308;GO:0009987;GO:0034641;GO:0042180;GO:0044237;GO:0044238;GO:0044281,GO:0005737;GO:0044464,0.0,2.3899999999999997,6.390000000000001,,0.0,93.53,0.07,0.42,0.62,0.78,-0.14,30.26,42535.4,6.52
